citekey,metric,value,units,measured_against,page
jedryszek2026probing,"probe-raw F1, strand, trunk L47 / diffusion L22",0.82 / 0.82,F1,dense DSSP (Δ 0.00),Table S1 p.17
jedryszek2026probing,"probe-raw F1, coil, trunk L47 / diffusion L22",0.90 / 0.90,F1,dense DSSP (Δ 0.00),Table S1 p.17
jedryszek2026probing,"probe-raw F1, disordered, trunk / diffusion",0.86 / 0.70,F1,SwissProt disorder (Δ −0.16),Table S1 p.17; p.3
jedryszek2026probing,"probe-raw F1, signal peptide, trunk / diffusion",0.76 / 0.35,F1,SwissProt (Δ −0.40),Table S1 p.17; p.3
jedryszek2026probing,"probe-raw F1, disulfide bond, trunk / diffusion",0.43 / 0.10,F1,SwissProt (Δ −0.34),Table S1 p.17; p.3
jedryszek2026probing,"probe-raw F1, amino-acid identity, trunk / diffusion",1.00 / 0.66,F1,"residue identity, positive control (Δ −0.34)",Table S1 p.17; p.3
jedryszek2026probing,"SAE-1feat F1, amino-acid identity, trunk / diffusion",0.85 / 0.30,F1,residue identity (Δ −0.55),Table S1 p.17
jedryszek2026probing,"probe-raw F1, amino-acid identity at trunk output",0.996,F1,"residue identity, mean ± sd over 20 AA",p.3; Fig. S2 p.10
jedryszek2026probing,"probe-raw F1 range, secondary structure across trunk depth",0.79–0.90,F1,dense DSSP,p.3; Fig. S6 p.12
jedryszek2026probing,"helix F1: dense DSSP vs sparse SwissProt, identical activations",0.85 vs 0.42 (gap −0.44),F1,label source contrast,p.4; Fig. S1 p.10
jedryszek2026probing,"strand F1: dense DSSP vs sparse SwissProt, identical activations",0.83 vs 0.33 (gap −0.50),F1,label source contrast,p.4; Fig. S1 p.10
jedryszek2026probing,"Boltz-own vs AlphaFold DSSP labels, helix",≈ 0.06–0.08,ΔF1,self-consistency control,"p.4, p.8; Fig. S10 p.14"
jedryszek2026probing,"probe-raw precision / recall, trunk",0.40 / 0.74,precision (per-residue) / recall (per-domain),"all readouts, both stacks",Fig. S7 p.12
jedryszek2026probing,"probe-raw precision / recall, diffusion",0.32 / 0.69,precision / recall,same,Fig. S7 p.12
jedryszek2026probing,SAE-1feat advantage over best single neuron,≈ +0.03 (trunk) / ≈ −0.01 (diffusion),ΔF1,best-single-feature comparison,Fig. S7 p.12
jedryszek2026probing,"probe-raw minus SAE-1feat, trunk secondary structure",0.13–0.35 (helix 0.85 vs 0.72; strand 0.82 vs 0.47),ΔF1,probe vs best single SAE latent,p.5
jedryszek2026probing,SAE faithfulness (probe-SAE / probe-raw),"≈ 0.98 trunk, ≈ 0.82 diffusion",ratio,reconstruction fidelity,Fig. S9 p.13
jedryszek2026probing,"**Steering, coil (probe), k=16**","**+0.061 [+0.045, +0.079], z = +11.5, verdict ""steers""**",ΔDSSP coil fraction,"paired (concept-add − random-add), n=97 held-out",Table S2 p.17
jedryszek2026probing,"**Steering, helix (probe), k=16**","**+0.039 [+0.025, +0.056], z = +6.2, verdict ""steers""**",ΔDSSP helix fraction,same,Table S2 p.17
jedryszek2026probing,"**Steering, helix (SAE-1feat), k=16**","**+0.029 [+0.020, +0.038], z = +5.0, verdict ""steers""**",ΔDSSP helix fraction,same,Table S2 p.17
jedryszek2026probing,"**Steering, strand (probe), k=16**","**−0.001 [−0.003, +0.001], z = +0.3, verdict ""null""**",ΔDSSP strand fraction,same,Table S2 p.17
jedryszek2026probing,"**Steering, strand (SAE-1feat), k=16**","**+0.001 [−0.001, +0.003], z = +1.0, verdict ""null""**",ΔDSSP strand fraction,same,Table S2 p.17
jedryszek2026probing,"**Steering, coil (SAE-1feat), k=16**","**+0.001 [−0.005, +0.007], z = −0.1, verdict ""null""**",ΔDSSP coil fraction,same,Table S2 p.17
jedryszek2026probing,"Off-target specificity, strand (probe) steered","Δhelix −0.022, Δstrand +0.001, Δcoil +0.021","ΔDSSP fraction, k=16",measured state × steered direction,Fig. S14 p.16
jedryszek2026probing,"Specificity, helix (probe) / coil (probe) steered",helix: +0.033 / −0.000 / −0.033; coil: −0.065 / −0.000 / +0.066,"ΔDSSP fraction (helix/strand/coil), k=16",same,Fig. S14 p.16
jedryszek2026probing,"Ablation (necessity), helix, trunk / diffusion / both",+0.0031 / −0.0007 / +0.0010 (n=24),ΔDSSP helix fraction,ablative arm,Fig. S13 p.15
jedryszek2026probing,"Dose-response at k=16, paired (helix − random)","probe +0.018, SAE +0.012",ΔDSSP helix fraction,matched-norm random control,Fig. S12 p.15
jedryszek2026probing,"Steering effect by confidence, coil / helix","coil +0.094 (low pLDDT, n=51) vs +0.025 (high, n=46); helix +0.062 vs +0.013",ΔDSSP fraction,pLDDT bin at 75,Fig. S15 p.16
jedryszek2026probing,Correlation of per-protein steering effect with pLDDT,"r ≈ −0.57 (coil), −0.35 (helix), −0.43 (helix SAE)",Pearson r,baseline pLDDT,Fig. S15 p.16
jedryszek2026probing,Steering-direction validity on the 97 steered proteins,"helix 0.83, strand 0.78, coil 0.88; all precision ≥ 0.93",F1 / precision,re-scored held-out,p.9
jedryszek2026probing,SAE latent F1 used as steering directions,"helix 0.72, coil 0.71, strand 0.47",F1,best single latent,p.9
jedryszek2026probing,mean pLDDT under steering at k=16,"≈ 79, stable across conditions",pLDDT,baseline vs steered,"p.3, p.9; Table S2 p.17"
jedryszek2026probing,Sequence-identity leakage,"3.3% of held-out proteins have any >30%-identity training neighbour; 9 of ~117,000 pairs",% / count,BLOSUM62 all-vs-all,p.9
jedryszek2026probing,Held-out helix-content range of the steering set,0.06–0.95,DSSP helix fraction,97 held-out proteins,p.9
jung2026boltzperturb,"Oracle success rate (SR_O), vanilla Boltz-2 (V), 180 poses/target",19.30,% of 57 targets with ≥1 pose <2 Å,"deposited ligand pose, RnP subset n=57","p7 (Table 2), p8 (Fig 4)"
jung2026boltzperturb,"SR_O, Boltz-2x steering (V_x), 180 poses",15.79,% of 57,same,"p7, p8"
jung2026boltzperturb,"SR_O, high diffusion temperature (V_hT), 270 poses",22.81,% of 57,same,"p7, p8"
jung2026boltzperturb,"SR_O, MSA masking (V_mask), 60 poses",10.53,% of 57,same,"p7, p8"
jung2026boltzperturb,"SR_O, MSA subsampling (V_sub), 60 poses",12.28,% of 57,same,"p7, p8"
jung2026boltzperturb,"SR_O, TBP-C5 (s=12.0), 60 poses",22.81,% of 57,same — matches V_hT with 78% fewer poses,"p7, p8"
jung2026boltzperturb,"**SR_O, TCP-C11 (s=0.9), 60 poses**",**26.32**,% of 57,"same — best arm; +7.02 pp over V, +3.51 pp over V_hT","p7, p8"
jung2026boltzperturb,"Top-20 confidence-ranked success (SR20), V",5.26,% of 57,"deposited pose, top-20 of 180 ranked by Boltz-2 confidence","p7, p8"
jung2026boltzperturb,"SR20, V_x",5.26,% of 57,same,"p7, p8"
jung2026boltzperturb,"SR20, V_hT",3.51,% of 57,same,"p7, p8"
jung2026boltzperturb,"SR20, V_mask",1.75,% of 57,same,"p7, p8"
jung2026boltzperturb,"SR20, V_sub",3.51,% of 57,same,"p7, p8"
jung2026boltzperturb,"SR20, TBP-C1 (s=3.0) and TBP-C4 (s=3.0)",10.53,% of 57,same,p7
jung2026boltzperturb,"SR20, TBP-C5 (s=12.0)",7.02,% of 57,same,"p7, p8"
jung2026boltzperturb,"**SR20, TCP-C11 (s=0.9)**",**14.04**,% of 57,"same — ""more than doubled the success rate of the best baselines (5.26% to 14.04%)""","p7, p8"
jung2026boltzperturb,"Headline abstract fold-change, top-20",**2.6 to 7.8**,fold,"TCP-C11 SR20 vs the range of baselines; 14.0/5.3 = 2.6 (vs V) and 14.0/1.8 = 7.8 (vs V_mask), reading Figure 4's rounded values — **the paper never states which baselines bound the range**","p1, p8 (Fig 4)"
jung2026boltzperturb,"Combined-set oracle success, vanilla → TCP",**17.7 → 30.6**,% of 62 targets,"""Across the combined 62-target evaluation, TCP nearly doubled the oracle success rate from 17.7% to 30.6%"" (= 11/62 → 19/62); p2 calls the same pair ""the fraction of predictions with ligand RMSD lower than 2Å"", which is a mislabel","p7, p2"
jung2026boltzperturb,"Success count, V → TBP-C5 (s=12) → TCP-C11 (s=0.9) → TBP∪TCP → TBP∪TCP∪V",11 → 13 → 15 → 21 → 22,targets out of 57,"deposited pose, <2 Å",p7 (Fig 3)
jung2026boltzperturb,"Win count W_all, TCP-C11 vs V",20 vs 3,targets out of 57 with lowest min-RMSD across all 14 methods,deposited pose,p7
jung2026boltzperturb,"Mean per-target minimum ligand RMSD, V",9.604 ± 7.025,Å,"deposited ligand pose, n=57",p7
jung2026boltzperturb,"Mean per-target minimum ligand RMSD, TCP-C11",10.457 ± 6.575,Å,same — **worse than vanilla on the mean while better on oracle SR**,p7
jung2026boltzperturb,"Ligand RMSF with protein context (F_p), V → TCP-C11",2.382 ± 2.613 → 7.666 ± 4.241,Å,"across the poses generated per target, n=57 targets",p7
jung2026boltzperturb,"Ligand RMSF without protein context (F_l), V → TCP-C11",0.825 ± 0.419 → 1.126 ± 0.485,Å,same,p7
jung2026boltzperturb,"Vanilla ligand RMSF, diagnostic five",< 2.3 (all 5); < 0.5 (2 of 5),Å,across 180 samples/target,p5
jung2026boltzperturb,"PoseBusters+OpenStructure validity, V → TCP-C11 → TBP-C1",98.79 → 97.16 → 90.80,% of poses valid,"all generated poses, n=57",p7
jung2026boltzperturb,"Diagnostic-five min ligand RMSD, 9PY4: V → TBP-C2",8.958 → 1.674,Å,deposited pose,"p6 (Table 1), p18"
jung2026boltzperturb,"Diagnostic-five min ligand RMSD, 9Z1L: V → TCP-C10",7.212 → 0.968,Å,deposited pose,"p6 (Table 1), p18 (0.97)"
jung2026boltzperturb,"Diagnostic-five min ligand RMSD, 9RAY: V → TBP-C4",2.089 → 1.055,Å,deposited pose,"p6, p18"
jung2026boltzperturb,"Spread of all five baselines on 9Z1L (V, V_x, V_hT, V_mask, V_sub)",7.195 – 7.214,Å,deposited pose — 0.019 Å total spread across 180–270 poses and 5 sampling strategies,p6 (Table 1)
jung2026boltzperturb,"Sampling-budget reduction, perturbation vs V / vs V_hT",3-fold (60 vs 180) / 78% (60 vs 270),—,pose count per target,"p5, p8, p9"
jung2026boltzperturb,Relative oracle gain of TCP-C11 over V_hT at 78% less compute,15,% relative (26.32 vs 22.81),"""TCP achieves 15% higher oracle success compared to the best vanilla Boltz variant, V_hT, with 78% less sampling, which translates to approximately 78% less compute""",p8
jung2026boltzperturb,Poses baselines need to match TCP-C11's k=60 count of correct poses,V ≈120 (≈3×); V_x ≈90 (≈2.5×),poses per target,"confidence-ranked top-k, n=23 oracle-successful targets only",p23 (Fig S8)
jung2026boltzperturb,Targets with ≥1 correct pose when all methods are pooled,23 of 57,targets,"deposited pose, <2 Å",p23
jung2026boltzperturb,"GPU-dependent RMSD spread, 9PY4 under TBP, identical seed/CUDA/precision",1.674 (V100) vs 9.007–9.167 (A100/H100),Å,deposited pose,p21 (Table S3)
jung2026boltzperturb,"Mean Boltz-2 confidence, diagnostic five, all baselines",0.925 – 0.927,confidence score (0–1),model self-assessment,p20 (Fig S4a)
junker2026peptidedesign,"median DockQ, AF2IG",0.03,DockQ (0–1),"crystal reference peptide, all 5,650 preds",p5
junker2026peptidedesign,"median DockQ, Boltz-2",**0.56**,DockQ,same,p5
junker2026peptidedesign,"median DockQ, RF3",0.41,DockQ,same,p5
junker2026peptidedesign,"% 'incorrect' (DockQ<0.23), AF2IG",70.65,% of preds,same,p5
junker2026peptidedesign,"% 'incorrect', RF3",36.31,% of preds,same,p5
junker2026peptidedesign,"% 'high quality' (DockQ≥0.8), AF2IG",7.15,% of preds,same,p5
junker2026peptidedesign,"% 'high quality', RF3",24.22,% of preds,same,p5
junker2026peptidedesign,"% 'acceptable'+'medium' (0.23–0.8), RF3",39.46,% of preds,same,p5
junker2026peptidedesign,"% 'medium quality' or better, Boltz-2",62.16,% of preds,same,p5
junker2026peptidedesign,"median iRMSD, AF2IG",12.2,Å,crystal reference interface,p5
junker2026peptidedesign,"median iRMSD, Boltz-2",2.2,Å,same,p5
junker2026peptidedesign,"worst iRMSD, Boltz-2",**66.26**,Å,same,p5
junker2026peptidedesign,"% preds with fnat ≤ 0.1, AF2IG",68,% of preds,native contacts of reference,p5
junker2026peptidedesign,% protein-ligand complexes with DockQ<0.23,AF2IG 100 / RF3 82.1 / Boltz-2 35.5,%,22 GPCR–protein complexes,"p5, S2 Fig"
junker2026peptidedesign,cyclic vs non-cyclic DockQ,"""no difference""",—,crystal reference,"p5, S4 Fig"
junker2026peptidedesign,"'high quality' pre→post training cutoff, AF2IG",15.8 → 3.2,% of subset,36 pre / 77 post dimers,"p6, Fig 4 p7"
junker2026peptidedesign,"'high quality' pre→post, Boltz-2",20.8 → 6.4,% of subset,68 pre / 45 post dimers,"p6, Fig 4 p7"
junker2026peptidedesign,"'high quality' pre→post, RF3",27.2 → 15.2,% of subset,88 pre / 25 post dimers,"p6, Fig 4 p7"
junker2026peptidedesign,'medium quality' pre→post,AF2IG 6.0→10.8 / Boltz-2 50.3→47.0 / RF3 17.8→29.2,% of subset,same subsets,Fig 4 p7
junker2026peptidedesign,'acceptable quality' pre→post,AF2IG 10.4→16.0 / Boltz-2 12.2→30.4 / RF3 20.4→23.1,% of subset,same subsets,Fig 4 p7
junker2026peptidedesign,'incorrect' pre→post,AF2IG 67.8→70.1 / Boltz-2 16.7→16.2 / RF3 34.5→32.4,% of subset,same subsets,Fig 4 p7
junker2026peptidedesign,pre-cutoff subset sizes,36 / 68 / 88 of 113,dimers,AF2 / Boltz-2 / RF3,Fig 4 caption p7
junker2026peptidedesign,training cutoff dates,2021/10/30 / 2023/01/06 / 2024/01/01,date,AF2 / Boltz-2 / RF3,p6
junker2026peptidedesign,"Spearman ρ, inter-chain PAE vs DockQ",AF2IG −0.829 / Boltz-2 −0.56 / RF3 −0.894 (text); −0.84 / −0.50 / −0.89 (Fig 6 panels),ρ,"5,650 preds per predictor",p7; Fig 6 p9
junker2026peptidedesign,"Spearman ρ, PAE peptide vs DockQ",AF2IG −0.50 / Boltz-2 −0.56 / RF3 −0.77,ρ,same,Fig 6 p9
junker2026peptidedesign,"Spearman ρ, ipSAEmin vs DockQ",AF2IG 0.66 / Boltz-2 0.65 / RF3 0.79,ρ,same,Fig 6 p9
junker2026peptidedesign,"Spearman ρ, ipSAEmax vs DockQ (all seeds)",Boltz-2 0.63 / RF3 0.74,ρ,same,p9
junker2026peptidedesign,"Spearman ρ, peptide pLDDT vs DockQ",AF2IG **0.02** / Boltz-2 0.76 / RF3 0.71,ρ,same,"p7, S6 Fig"
junker2026peptidedesign,"best-seed ρ, peptide pLDDT",Boltz-2 0.81 / RF3 0.81,ρ,113 best-seed preds per predictor,p9
junker2026peptidedesign,"best-seed ρ, ipSAEmin",Boltz-2 0.65→0.52 / RF3 0.79→0.71,ρ,same,p9
junker2026peptidedesign,"best-seed ρ, ipSAEmax",Boltz-2 0.63→0.79 / RF3 0.74→0.84,ρ,same,p9
junker2026peptidedesign,"best-seed ρ, inter-chain PAE, Boltz-2",−0.50 → −0.27,ρ,same,p10
junker2026peptidedesign,"best-seed ρ, PAE peptide, Boltz-2",−0.56 → −0.34,ρ,same,p10
junker2026peptidedesign,distance-restricted PAE (≤10 Å),"""entirely unsuitable""",—,same,"p9, S5 Fig"
junker2026peptidedesign,"seed-driven DockQ range, single dimer (8flu, 6b3j; AF2IG)",0.03 – 0.85,DockQ,50 seeds on one dimer,"p6, S1 Fig"
junker2026peptidedesign,"per-target divergence, 7w53",RF3 0.81 / Boltz-2 0.24 / AF2IG 0.12,median DockQ,"50 seeds, 7-aa peptide",p6
junker2026peptidedesign,"per-target divergence, 8f7w",Boltz-2 0.83 / AF2IG 0.24 / RF3 0.43,median DockQ,"50 seeds, 8-aa peptide",p6
junker2026peptidedesign,designs generated,"10,000 × 3 methods × 3 receptors = 90,000",designs,—,"p11, Fig 8 p12"
junker2026peptidedesign,BoltzGen designs placed inside the pocket,"**100** (all 30,000)",%,OPM membrane plane + contact analysis,p11
junker2026peptidedesign,RFdiffusion3 designs placed outside the pocket / membrane-contacting,85.8 (AT2) / 15.02 (NOP),"% of 10,000",same,"p11, S7B Fig"
junker2026peptidedesign,BoltzGen ETB designs with RMSD ≤ 5 Å to reference,79.8,"% of 10,000",native sarafotoxin S6b (6lry),p11
junker2026peptidedesign,BoltzGen AT2 designs with RMSD < 5 Å,100,"% of 10,000",native Ang II (6jod),p11–p12
junker2026peptidedesign,BoltzGen AT2 designs with RMSD ≤ 1.5 Å,**97.9**,"% of 10,000",same,p12
junker2026peptidedesign,BoltzGen AT2 sequence recovery,**0.25** for every design,fraction,native Ang II sequence,"p12, S8A Fig"
junker2026peptidedesign,"sequence recovery, all other method–target combinations","""rarely exceeded 0.1""",fraction,native peptide sequence,"p12, S8A Fig"
junker2026peptidedesign,"clashing designs, BindCraft",AT2 23.1 / ETB 51.7 / NOP 43.6,"% of 10,000","Rosetta PerResidueClashMetric, no relax",Fig 8 p12
junker2026peptidedesign,"clashing designs, BoltzGen",AT2 60.3 / ETB 62.0 / NOP 36.6,"% of 10,000",same,Fig 8 p12
junker2026peptidedesign,"clashing designs, RFdiffusion3",AT2 14.6 / ETB **87.4** / NOP 66.5,"% of 10,000",same,"Fig 8 p12, p12 text"
junker2026peptidedesign,"reprediction 'high quality', initial design sequences",BindCraft+AF2IG **60.9** / BoltzGen+RF3 39.2 / BoltzGen+Boltz-2 32.1 / RFdiffusion3+RF3 12.2,%,DockQ vs the initially designed peptide,p13
junker2026peptidedesign,"ProteinMPNN gain, 'medium quality', RFdiffusion3 designs",AF2IG 23.1→34.2 / Boltz-2 16.9→39.2 / RF3 22.3→48.1,%,same,p14
junker2026peptidedesign,ProteinMPNN effect on 'high quality',"""a reduction in the DockQ high quality category"" (no number given)",—,same,p14
junker2026peptidedesign,ProteinMPNN sequence recovery,"""remained on the same level as with the initially produced sequences for all designs, apart from BindCraft designs targeting AT2""",—,native peptide sequence,p14
junker2026peptidedesign,BindCraft design attempts before downsampling,"15,304 (6jod) / 13,520 (6lry) / 16,810 (8f7x) = **45,634**",trajectories,—,p16
junker2026peptidedesign,GPCRdb protein/peptide entries retrieved,414,complexes,GPCRdb ligand-type filter,"p3, Fig 2A p5"
junker2026peptidedesign,"after filtering (non-redundant, gapless, canonical AAs, dimers only, best resolution)",**113**,dimers,—,"p3, p16, Fig 2A p5"
junker2026peptidedesign,class A receptors / ligands,58 / 74,count,—,"p3, Fig 2A p5"
junker2026peptidedesign,class B1 receptors / ligands,14 / 26,count,—,"p3, Fig 2A p5"
junker2026peptidedesign,GPCR–peptide vs GPCR–protein split,91 / 22 (incl. 4 nAbs),complexes,—,p1 abstract
junker2026peptidedesign,peptide length range,3 – 137,amino acids,—,"p3, Fig 2B p5"
junker2026peptidedesign,shortest peptide,"3 aa (substance P fragment, MRGPRX2, PDB 7vdm)",aa,—,p3
junker2026peptidedesign,most-represented receptors,"GLP1R (5 complexes), ETB (4 complexes per p3; ""five times"" per p10 — see `unresolved` item 3)",complexes,—,"p3, p10"
kalakoti2025afsample2,"**Benchmark 1 — OC23**, size","23 proteins, open vs closed, admitted at TM(open,closed) < 0.85",proteins,dataset definition,p11 (Table S1 not held)
kalakoti2025afsample2,"**Benchmark 2 — TP16**, size","16 membrane transporters, inward- vs outward-facing",proteins,"dataset definition, curated in ref 28","p9, p11 (Table S3 not held)"
kalakoti2025afsample2,"**Benchmark 3 — OC>85** (negative control), size","22 proteins, TM(open,closed) ≥ 0.85",proteins,dataset definition,p11 (Table S2 not held)
kalakoti2025afsample2,"**Benchmark 4 — fold-switch case study**, size",1 engineered S6 ribosomal protein (FS1 8e6y_A α/β-plait ↔ FS2 2f1s_A 3α-bundle),protein,dataset definition,"p9, Fig 9 p11"
kalakoti2025afsample2,"Sampling budget, all methods, all sets","1,000",models per target per method,matched budget for fair comparison,"p3, p5, p9"
kalakoti2025afsample2,"**Targets gaining a high-quality alternate state, OC23** — AFsample2 vs AFvanilla",**9 / 23** (39.1%),targets improved at ΔTM > 0.05,"min-of-two-states TM to deposited references, Wilcoxon signed-rank p < 1.2e-06","p1, p6, Fig 3d p5"
kalakoti2025afsample2,…vs MSAsubsample,5 / 23,targets,"same, p < 1.9e-02","p6, Fig 3d p5"
kalakoti2025afsample2,…vs AFcluster,17 / 23,targets,"same, p < 3.7e-05","p6, Fig 3d p5"
kalakoti2025afsample2,…vs SPEACH_AF,"**4 / 23 (text) but ""3/23 improved"" printed on Fig 3d** — discrepancy, see `unresolved`",targets,"same, p < 1.4e-02",p6 vs Fig 3d p5
kalakoti2025afsample2,…vs AFsample,8 / 23,targets,"same, p < 2.3e-06","p6, Fig 3d p5"
kalakoti2025afsample2,"**Targets gaining a high-quality alternate state, TP16** — vs AFvanilla / MSAsubsample / AFcluster / SPEACH_AF / AFsample","**11 / 16**, 7/16, 12/16, 7/16, 9/16 (all ΔTM > 0.05; figure panel titles agree with the text here)",targets improved,"min-of-two-states TM to deposited references; p < 4.6e-05, 2.2e-02, 2.9e-04, 1.7e-02, 2.9e-04","p1, p9, Fig 8d p10"
kalakoti2025afsample2,"**Both states recovered at TM > 0.8, OC23**",AFsample2 **78.3%**; SPEACH_AF 73.9%; MSAsubsample 69.6%; AFsample 56.5%; AFvanilla 47.8%; AFcluster 47.8%,% of 23 targets,"TM to both deposited references, best-of-1000 each",p5
kalakoti2025afsample2,"**Both states recovered at TM > 0.8, TP16**","AFsample2 **8/16 (50%)**; ""the best of the other methods predict at most 4 targets"" (25%)",targets,TM to both deposited references,p9
kalakoti2025afsample2,"**AUC of success-fraction vs TM threshold, OC23**",AFsample2 **0.85**; SPEACH_AF 0.84; MSAsubsample 0.83; AFsample 0.78; AFvanilla 0.76; AFcluster 0.70,AUC (dimensionless),fraction of targets with both states above a swept TM threshold,Fig 3c p5
kalakoti2025afsample2,"**AUC of success-fraction vs TM threshold, TP16**",AFsample2 **0.77**; MSAsubsample 0.72; SPEACH_AF 0.67; AFsample 0.64; AFvanilla 0.60; AFcluster 0.59,AUC,same,Fig 8c p10
kalakoti2025afsample2,**Aggregate best-ALTERNATE (open) TM vs masking level**,0.80 at 0% masking → **0.88 at 15%**; degrades beyond 30%; ~0.83 at 50%,"TM-score, mean over 23 targets ± SE",deposited open structures,"p3, Fig 2a p4"
kalakoti2025afsample2,**Aggregate best-PREFERRED (closed) TM vs masking level**,"0.89 at 0% → **0.90 at 15%** (a +0.01 *gain*, not a loss); flat to ~30%; ~0.87 at 50%","TM-score, mean over 23 targets ± SE",deposited closed structures,"p3, Fig 2a p4"
kalakoti2025afsample2,"**Preferred-state degradation, per target (the trade-off question)**","**1 / 23 targets loses more than 0.05 TM on the preferred state** — A0A075Q0W3, ≈ −0.06. All other closed-state deltas lie within ±0.05, several are positive (P00558 ≈ +0.07). On the alternate state, 1/23 loses ≈ −0.03 (A6UVT1) while the best gain is ≈ +0.36 (P31133)","ΔTM (AFsample2 − AFvanilla), best-of-1000 each","deposited open and closed structures, both panels on a shared y-scale","p6, Fig 3e p5"
kalakoti2025afsample2,Largest single-target end-state gain,"""improvements over 50%, basically going from mediocre TM-scores of 0.58 to almost perfect 0.98""",TM-score,deposited reference,"p1, p3"
kalakoti2025afsample2,**Ensemble diversity gain**,**+70%** more conformations generated between the end states vs AFvanilla,% increase in distinct intermediate conformations,"AFvanilla ensemble at matched 1,000-model budget","p1, p3"
kalakoti2025afsample2,"Fill ratio, AFsample2 vs comparators (OC23)","Significantly higher than AFvanilla (p < 5.1e-04), AFcluster (p < 5.2e-05), AFsample (p < 1.9e-03); **not** significant vs MSAsubsample (p < 5.1e-01) or SPEACH_AF (p < 6.3e-02)","Wilcoxon signed-rank p, n = 23",per-target paired fill ratio,"p6, Fig 4b p7"
kalakoti2025afsample2,"Fill ratio, worked example (target P31133)",AFsample2 0.82; SPEACH_AF 0.78; MSAsubsample 0.54; AFcluster 0.37; AFsample 0.21; AFvanilla 0.01,"fill ratio ∈ [0,1]",100-bin occupancy of the open→closed diagonal,Fig 4a p7
kalakoti2025afsample2,Targets generating both states **and** models between them,15 / 23,targets,visual read of diversity plots,p6
kalakoti2025afsample2,Model confidence cost of masking,"−2 confidence points per +5 percentage points of masking, linear 0–35%; rapid collapse beyond 35% (≈ 89 at 0% → ≈ 63 at 50%)",AF2 model confidence,AFvanilla at 0% masking,"p3, Fig 2a-right p4"
kalakoti2025afsample2,Intermediates matched to deposited structures,"4 targets (P31133, Q7DAU8, P71447, P33284) with PDB intermediates at TM > 0.9 to an ensemble member; 4 shown with none found",targets,PDB entries at > 90% sequence identity,"p6, Fig 5 p8"
kalakoti2025afsample2,Ensemble RMSF vs experimental ΔCα (target B3EYN2),R = 0.82 (AFsample2) vs R = 0.81 (AFvanilla); fill ratio 0.25 vs 0.22,Pearson R (caption says correlation; Fig 6d axis says Spearman),per-residue Cα displacement between deposited open and closed,"p6, Fig 6a–c p8"
kalakoti2025afsample2,Reference-free selection accuracy,"MAE ≈ **0.06** TM units for both AFsample2 and AFcluster at their optimal thresholds (85% and 90% of highest confidence) — ""the MAEs are not comparable since the ensembles are different""",TM-score units,oracle best-possible selection from the same ensemble,"p7, Fig 7b,e p9"
kalakoti2025afsample2,Worst selection failure,B7IE18 closed state: selected 0.55 vs best available 0.92 (MSE > 0.27),TM-score,oracle best-possible selection,p7
kalakoti2025afsample2,Fold-switch case study,"Alternate fold FS2 reached at TM > 0.8 by AFsample2 (a ""handful"" of models; count not given) but not by AFcluster; confidence 0.75 (FS2) vs 0.88 (FS1)",TM-score / confidence,deposited 2f1s_A and 8e6y_A,"pp9–10, Fig 9 p11"
kalakoti2026afsample3,Benchmark size,238,"proteins, each with 2 deposited states","Cfold dataset (Bryant & Noé, ref 7)","p1, p2"
kalakoti2026afsample3,Inter-state similarity range of benchmark pairs,~0.3 to 0.8,TM-score between the two reference states,TM-align between deposited states,p2
kalakoti2026afsample3,Targets with high-quality alternate state (TM > 0.8),AFsample3 **83**; MSAsubsampling 67; AFsample2 63; AF3vanilla 54; AF2vanilla 32,count of targets (of 238),"TM-align, best-of-1000 vs deposited alternate reference","p1, p4 (Fig 2d, p3)"
kalakoti2026afsample3,"Increase in TM>0.8 alternate-state targets, AFsample3 vs AF3vanilla","+54% (54 → 83), p < 0.0001",% / counts,AF3vanilla baseline,p1
kalakoti2026afsample3,"Improvement : deterioration ratio, alternate state (ΔTMscore ≥ 0.05)",vs AF2vanilla **96:14**; vs AF3vanilla **67:8**; vs AFsample2 **72:20**,targets improved : targets degraded,per-target ΔTM of best alternate state,"p3 (Fig 2a, p3; Fig S1, p12)"
kalakoti2026afsample3,"Improvement : deterioration, AF3vanilla vs AF2vanilla (alternate)","56:23, with 159 marginal (ΔTM < 0.05)",targets,per-target ΔTM,p3
kalakoti2026afsample3,"Improvement : deterioration, AF3vanilla vs AFsample2 (alternate)",47:52,targets,per-target ΔTM,p3
kalakoti2026afsample3,"Improvement : deterioration, AFsample3+subsampling vs AFsample3","36:49 (subsampled arm better for 36, worse for 49)",targets,per-target ΔTM,"p10 (Fig S1, p12)"
kalakoti2026afsample3,"Mean TM, best alternate state",af2vanilla 0.665; af3vanilla 0.691; afsample2 0.704; afsample2_m 0.725; **afsample3 0.733**; afsample3_m 0.729; af2_conformations 0.714; af3_m 0.715,"TM-score, mean over 238","min(maxTM1, maxTM2), best-of-1000 vs references","Table S1, p13"
kalakoti2026afsample3,"Mean TM, best preferred state",af2vanilla 0.847; af3vanilla 0.862; afsample2 0.843; afsample2_m 0.854; **afsample3 0.874**; afsample3_m 0.870; af2_conformations 0.860; af3_m 0.869,"TM-score, mean over 238","max(maxTM1, maxTM2) vs references","Table S1, p13"
