citekey,design_class,control_class,design_text,control_text
stein2022speachaf,held-out or post-cutoff set exists,run but unpowered,"**YES — a real, explicit, two-stratum training-set design. This is NOT `NONE`, and it is the paper's organising principle for the membrane-protein half.** - **Stratum 1, n = 8: both conformations outside the AF2 training set.** p3: ""eight membrane proteins where both conformations were not in the AF","**RUN, and analysed as the paper's central negative-result test — but UNPOWERED (n = 4, and the comparison stratum is n = 8; both below the v3 n ≈ 10 bar).** - **The control arm is the 4-protein one-structure-in-training-set stratum, and it was run to test a specific memorization hypothesis raised b"
sun2026kinconfbench,held-out or post-cutoff set exists,run but unpowered,"**YES — a per-model, deposition-date time split, with the cutoff stated explicitly for each model.** p10: ""For each cofolding model, we define training and test sets based on a time split relevant to each model: a holo ligand combination counts as part of the test set if it first appears in the PDB ","**CONTROL ARM ACTUALLY RUN AND ANALYSED — one of the few papers in the corpus where this is true — but mark `UNPOWERED` on the overlap clause.** - *Run:* Figure 5 (p11) reports the four-way outcome distribution separately for the train split and the test split, per model, and the text compares them:"
suzuki2026conforflux,held-out or post-cutoff set exists,run and analysed,"**PRESENT — 12 post-cutoff transporter pairs, plus a post-cutoff single-target case study.** - *Cutoff definition*: Boltz-2 training cutoff **2023-06-01**, defined as initial PDB release date. Verbatim, p20: ""Of the 32 retained, 20 have both references released before the Boltz-2 training cutoff (20","**RUN — a real arm, analysed, with statistics. This is the strongest rigour feature of the paper.** Not `NONE RUN`. - Section 4.2 (p5–p6) runs four configurations on the same 12 post-cutoff pairs. ""The three Boltz-2 columns share backbone, MSA, and sample count, so the only varying factor among them"
suzuki2026pairscaling,none,none run,"**NONE.** No held-out set, no post-cutoff set, no training-cutoff date for Boltz-2 stated anywhere, no PDB-release-date filter on the benchmark targets. MS15 was curated from the PDB with no recency criterion — the stated selection rule is only ""distinct conformational states (pairwise TM-score ≤ 0.","**NONE RUN.** The one ablation that touches memorization is the sequence-only (no-MSA) arm, and it is run in the *opposite* direction — as evidence that memorized priors are doing useful work, not as a control against them: ""our findings suggest that Boltz-2 has internalized a rich set of structural"
swapna2025memorization,partial / weak,run but unpowered,"**PRESENT but weak — a three-way stratification of the 10 targets by training-set availability, with no date cutoff given.** - Cutoff definition: **qualitative, not a date.** The phrase used throughout is ""available in the PDB at the time of AF2 training"" (p6, and repeated p11, p13). **No training c","**RUN AS AN ANALYSED ARM, and UNPOWERED (n = 3 in the never-in- training bin).** It is not merely a set that exists: the three bins are compared directly and the comparison is the paper's headline. p6, in full, is the analysis: > ""In the first two systems (DgoT and ZnT8), both inward- and outward-op"
tang2026steeraf,none,none run,"**NONE as a design. One incidental post-cutoff system, n = 1, observed only to explain a failure.** There is no held-out set, no post-cutoff split, and no stated cutoff for the benchmark as a whole. The only cutoff discussion in the paper, p16 verbatim: ""For A6UVT1, neither AlphaFold2 nor AF2-based ","**NONE RUN, and UNPOWERED even if the single case were counted (n = 1).** No control arm was executed or analysed. No post-cutoff subset was scored separately; no scrambled-sequence, shuffled-MSA or homolog-removed arm exists. The A6UVT1 observation (p16) is narrative, not an arm. Because SteerAF's "
tejero2024opsin,not applicable (nothing trained),not applicable (nothing trained),"`NOT APPLICABLE` — no model is trained, so there is no training set to hold out from and no cutoff to define. The only date-sensitive object in the paper is the deposited comparison set (p11), which is prior art being compared against, not held-out data.",`NOT APPLICABLE` — same reason; `NONE RUN` would falsely imply a control was available and skipped.
tran2026nanogs,not applicable (nothing trained),not applicable (nothing trained),"**NOT APPLICABLE.** There is no trained model, no training cut-off, and nothing that could be memorised. No held-out set exists or could exist. (See `stated_limits` for the wet-lab control arms that play the analogous role.)","**NOT APPLICABLE**, same reason. The wet-lab analogue — negative-control peptides actually synthesised and run — **was** done and is recorded under `stated_limits`; note that a **scrambled-sequence peptide control was NOT run** (see `unresolved`)."
vo2026fiducials,partial / weak,none run,"**Present in substance, absent in framing — the paper never uses the concept.** The seven-or-so structures determined here (MRGPRX2-E23, MC2R-CRN04894, V1AR-SRX246, GIPR-GIP(5-31*), β2BB3-propranolol, β2BB3-BI-167107, β2BB3-LM189, β2BB3-BI-167107-Gs) were **not in the PDB when the co-folding models ","**NONE RUN, and `UNPOWERED` if the de facto set is treated as one.** No control arm was run: there is no pre-cutoff comparison set, no matched arm of already-deposited complexes run through the same co-folding protocol, and no per-target statistics. The de facto post-cutoff set is n ≈ 4 (small molec"
wallner2023afsample,held-out or post-cutoff set exists,none run,"**YES, by construction of CASP15, and the cutoff is explicitly dated — but n is never stated.** p2 §2.1: ""Sequence databases were downloaded on 22 April 2022, and the PDB was updated 2 May 2022""; the CASP15 prediction season followed, and CASP15 targets are structures unreleased at prediction time. ","**NONE RUN as a separate arm — and none is needed for the headline, because the entire benchmark is post-cutoff.** There is no seen-vs-unseen split, no memorisation probe, no pre-/post-cutoff comparison. The nearest thing is the v3 arm, which is the *reverse* control (a knowingly contaminated arm) o"
waymentsteele2024cluster,none,none run,"**NONE as conventionally defined — no held-out set, no post-cutoff set, no cutoff date stated anywhere.** AF2's training cutoff is never mentioned; none of the reference structures (2QKE, 5JYT, 5OND, 2LCL, 1S2H, 1DUJ, 1UBQ, 1LU4) is checked against it. Two design elements are adjacent to anti-memori","**NONE RUN as a prediction-accuracy control arm. UNPOWERED.** No arm compares performance on pre- vs post-cutoff structures; there is no cutoff and no such split. The DALI search in item 2 above *was* actually run and analysed — 1,822 hits for the known state and 1,245 for the alternative state, 1,0"
waymentsteele2025reply,held-out or post-cutoff set exists,run but unpowered,"**PRESENT, NEW IN THIS DOCUMENT, and unusual in kind.** Not a post-cutoff held-out set but a **de novo sequence set constructed to be absent from the databases**: - *Construction:* ProteinMPNN at temperature 1.0, 15 sequences per structure, over 5 deposited structures (2QKE:E, 5JYT:A, 6C6S:D, 1S2H:A","**RUN — but UNPOWERED and reported without a single number.** The arm exists and was executed: the de novo sequence sets ""were then used as MSA inputs to ColabFold[19]"" (p12) and the outcome is Appendix D4 (p21). The entire quantitative content of the result is a qualitative sentence and a set of re"
wohlwend2024boltz1,held-out or post-cutoff set exists,none run,"**PRESENT, dated, and the reason this note exists. Quoted in full with pages.** **The training cutoff, verbatim, p3:** > ""For training we use all PDB structures [Berman et al., 2000] released before **2021-09-30** > (same training cut-off date as AlphaFold3) and with a resolution of at least 9Å."" **","**NONE RUN as a control *arm*, though the held-out set is real and well powered (n=541).** The distinction the schema exists to preserve applies squarely here: every headline number in this paper is computed on post-cutoff, cluster-excluded data, so the whole evaluation sits inside the anti-memoriza"
wu2023tds,none,none run,**NONE.**,**NONE RUN.**
yang2025statespecific,held-out or post-cutoff set exists,partial,"**YES, and it is a good one — double cutoff, on date and on receptor identity.** - Cutoff definition: training data are ""Propedia v1.0 database and GPCRdb (data released before June 30, 2021)"" (p11); evaluation is ""Data from GPCRdb released after June 30, 2021 … filtered for 45 high-quality complexe","**PARTIAL — the held-out set is the benchmark, but no matched control arm isolates memorization.** - The 45-complex post-cutoff set was actually run and analysed (Fig 2, p3), so it is not a held-out set left unused. n = 45, so not `UNPOWERED`. - **But there is no pre-cutoff / seen-data arm to compar"
ye2026multistatebias,none,none run,"**NONE.** There is no held-out set, no post-cutoff target set, and no cutoff definition anywhere in the paper. The opposite is stated — the reference states are known to be inside the training data: ""This bias occurred despite the IF-state structure being released in 2019 and therefore present in th","**NONE RUN.** No control arm addresses memorization. The only control arm in the paper is a different control entirely — evolutionary signal vs. depth reduction: > ""As controls, we also generated uniformly random sub-MSAs of depth 10 (U10) and 100 (U100) to test whether evolutionary structure in the"
yu2026domainmotion,held-out or post-cutoff set exists,run and analysed,"**This paper is an anti-memorization design, and that is its whole contribution.** Rather than a temporal cutoff, the stratification variable *is* the training-set composition: proteins are grouped by their apo:holo ratio in the PDB and the same protocol is run across all three groups. That is a str","**RUN, ANALYSED, AND POWERED — n = 82, with two independent control arms.** Arm 1: the three-group stratification itself, with statistical significance reported in the SI Appendix. Arm 2: **the non-binder ligand arm**, which is the sharpest control in this corpus for a ligand-as-handle claim. Arm 3:"
zhang2026generalization,held-out or post-cutoff set exists,run and analysed,"**YES, and it is the paper's design centrepiece — a family-level, date-based holdout, n = 253.** Cutoff definition, p4 verbatim: ""We enumerated all human GPCR structures in GPCRdb41 that were initially released in the RCSB Protein Data Bank (PDB)42 after 2021-09-30 (the training cutoff for Boltz and","**RUN, analysed, and reported as a null — this is a real control arm, not a held-out set that merely exists.** Three arms: 1. *Similarity-vs-accuracy regressions* (Fig. 1a–c, p2): receptor sequence identity to training, ligand Tanimoto to training. Result, p2 verbatim: ""we found no clear trend betwe"
