citekey,fig_no,page,gist,plot_type,data_shape,form,slot_facet,slot_vary,slot_series,slot_measure,slot_mark,slot_n,slot_rows,slot_cols,slot_value,slot_views,slot_overlay,panels,hides,reuse
feldman2026alphainterp,3B,13,Nearest-neighbour fold classification accuracy per checkpoint and condition,heatmap,"`MATRIX \| rows: MSA condition (2) \| cols: checkpoint (4: A pair, B pair, C1 pair, CN pair) \| value: leave-one-out nearest-neighbour accuracy (printed, 0.460–0.670) \| facet: none (1)`",MATRIX,,,,,,,,,,,,1,"**The chance level is never stated or drawn** — with 5 groups of 20 in a leave-one-out scheme, chance is ≈19/99 ≈ 0.19, which would make 0.46 (the worst cell) already well above chance and would substantially change how the MSA/no-MSA gap reads. Colour scale runs 0.40–0.70, i.e. **starts far above chance**, so every cell looks informative. n = 100 not printed; no CI on a proportion from 100 trials (±~0.09 at 95%), which is comparable to the entire MSA-vs-no-MSA gap",as 1A
feldman2026alphainterp,3C,13,"Mean Kabsch RMSD by MSA condition and alignment status, SABmark",heatmap,"`MATRIX \| rows: MSA condition (2) \| cols: alignment status (3: aligned SABmark, non-aligned same protein, unrelated protein) \| value: mean Kabsch Cα RMSD (Å), printed, 3.13–24.45 \| facet: none (1)`",MATRIX,,,,,,,,,,,,1,"Means only — **no distribution, no dispersion, no n behind any cell** (560 pairs, and the two null columns are themselves resample means), for the comparison that carries the paper's central SABmark claim. A 3.13 → 12.80 Å shift is reported without knowing whether it is a uniform shift or a bimodal split between recovered and destroyed pairs",as 1A
feldman2026alphainterp,3D,13,Per-domain no-MSA vs MSA RMSD to the experimental structure at the fold-switching region,scatter,"`PLOT \| facet: none (1) \| vary: MSA-conditioned predicted RMSD to experiment, 0–30 Å (continuous) \| series: which condition is closer (3: MSA closer n=63, no-MSA closer n=27, tied n=2) \| measure: no-MSA predicted RMSD to experiment (Å) \| mark: point + y=x diagonal \| n: 1 per mark; 92 domains per panel`",PLOT,,,,,,,,,,,,1,"Colouring points by **which side of the diagonal they fall on** is tautological — the legend categories are defined by the geometry being displayed, so the colour carries no independent information while looking like a classification result. Both axes truncate at 30 Å with no indication whether any domain exceeds it",as 1A
feldman2026alphainterp,3E,13,"Mean distogram entropy at fold-switching vs non-switching residues, both MSA conditions",bar,"`PLOT \| facet: none (1) \| vary: region type (2: fold-switching, non-FS) \| series: MSA condition (2) \| measure: mean distogram entropy (bits), printed (2.245, 3.242, 1.385, 2.390) \| mark: bar \| n: 92 domains per bar`",PLOT,,,,,,,,,,,,"1, 4 bars","Four bars, no error bars, no n printed, no test — the entire fold-switch ""the model knows something is unusual"" claim rests on this panel plus a single pLDDT pair (77.4 vs 82.3) that has **no panel at all**",as 1A
feldman2026alphainterp,3F,13,"Per-domain waterfall of RMSD delta (no-MSA − MSA) at the fold-switching region, sorted",bar (horizontal waterfall),"`PLOT \| facet: none (1) \| vary: domain, sorted by delta (92) \| series: sign of delta (2: MSA closer blue, no-MSA closer red) \| measure: RMSD delta no-MSA − MSA (Å), −15…+20 \| mark: bar (horizontal) + dashed mean line at +2.869 Å \| n: 1 per bar; 92 per panel`",PLOT,,,,,,,,,,,,1,"92 domain labels are printed at a size that is illegible at any normal reproduction scale, so the identity of the 27 domains where removing the MSA *helped* — the most interesting subset in the panel — cannot be recovered. Same data as 3D in a second encoding, which double-counts one comparison across two panels",as 1A
feldman2026alphainterp,4A,17,Mean TM-score across all 14 MSA perturbation levels plus the no-MSA condition,bar,"`PLOT \| facet: none (1) \| vary: perturbation condition (15: Shuf 10/20/40/70/90/95/99%, Sub 10/20/40/70/90/95/99%, No MSA) \| series: perturbation type (3: column shuffling, row subsampling, no MSA) \| measure: mean TM-score vs the full-MSA control prediction \| mark: bar + dashed no-MSA baseline at 0.564 \| n: 200 Novel proteins per bar`",PLOT,,,,,,,,,,,,"1, 15 bars","**The in-panel legend box physically occludes the tops of the Sub 95% and Sub 99% bars**, i.e. two of the fifteen values cannot be read off the figure at all. **No unperturbed full-MSA control bar is drawn**, so the reference the y-values are measured against is absent from its own panel. No error bars, no n printed, no per-protein distribution behind a mean over 200 proteins. The caption says TM-score is ""relative to the no-MSA baseline"" while the Methods say comparisons are against the full-MSA control prediction — see `unresolved`",as 1A
feldman2026alphainterp,4B,17,"Mean distogram entropy across the same perturbation levels, plus control and no-MSA",bar,"`PLOT \| facet: none (1) \| vary: perturbation condition (16: Control, Shuf 10–99% (7), Sub 10–99% (7), No MSA) \| series: perturbation type (4: control, column shuffling, row subsampling, no MSA) \| measure: mean distogram entropy (bits) \| mark: bar \| n: 200 proteins per bar`",PLOT,,,,,,,,,,,,"1, 16 bars","No error bars, no printed values, no n. Uses a **different condition set from 4A** (this panel has a Control bar, 4A does not), so the two panels immediately above and below one another cannot be read against a common x-axis",as 1A
feldman2026alphainterp,4C-D,17,"Mean cosine distance from the unperturbed control across checkpoints, for row subsampling and column shuffling",heatmap,"`MATRIX \| rows: perturbation level (7: 10, 20, 40, 70, 90, 95, 99%) \| cols: checkpoint (5: A, B, C1, CN, CN_single) \| value: mean cosine distance from unperturbed control (printed, 0.000–0.253) \| facet: perturbation type (2: row subsampling, column shuffling)`",MATRIX,,,,,,,,,,,,"2, varying by perturbation type","**The two panels use different colour maxima (0.10 for subsampling, 0.25 for shuffling)** while being placed side by side for comparison, so the shuffling panel's larger drift is visually flattened relative to its true 2.5× advantage. Both panels are dominated by 0.000 cells (columns A, B and CN_single are entirely ~0.000–0.003 in both), another floored region presented as a result. **Negative-zero values are printed (""−0.000"")** in the shuffling panel",as 1A
feldman2026alphainterp,4E-F,17,Entropy-based effective rank across checkpoints and perturbation levels,bar,"`PLOT \| facet: perturbation type (2: row subsampling, column shuffling) \| vary: checkpoint (5: A, B, C1, CN, CN_single) \| series: perturbation level (9: control, 10, 20, 40, 70, 90, 95, 99%, no MSA) \| measure: entropy-based effective rank \| mark: bar \| n: 200 proteins per bar`",PLOT,,,,,,,,,,,,"2, varying by perturbation type; 45 bars each","45 bars per panel in a 9-colour sequential ramp where adjacent levels are indistinguishable; **the only bar that matters (no-MSA, red) is legible but the other eight are not**, so the claimed invariance across perturbation levels is asserted by an unreadable ramp. No values printed, no error bars. The CN_single group (rank ~65–70) shares a y-axis with the pair groups (rank ~19–45), compressing the pair differences the panel exists to show",as 1A
feldman2026alphainterp,5A,20,"TM-score-to-control and pTM vs MSA depth, stratified by phylogenetic tier",line,"`PLOT \| facet: metric (2: TM-score vs control, pTM) \| vary: MSA depth (3: 1, 5, 10 sequences) \| series: phylogenetic tier (4: similar, medium, dissimilar, random) + 2 reference lines (full-MSA control dashed, no-MSA dotted) \| measure: TM-score to the full-MSA control prediction / pTM \| mark: line + point with shaded band \| n: 61 proteins per point`",PLOT,,,,,,,,,,,,"2, varying by metric","**Both y-axes are truncated** — the TM-score panel starts at ≈0.48 and the pTM panel at ≈0.35, neither at 0 — which magnifies the tier separation that is the panel's entire message. Only **three** depth points (1, 5, 10) are joined by straight lines that imply a continuous trend. The shaded bands are never defined in the caption (SD? SEM? CI?). n = 61 not printed",as 1A
feldman2026alphainterp,5B,20,"Radar profiles across five metrics for each tier, at depths 1, 5 and 10",radar / spider,"`PLOT \| facet: MSA depth (3: n=1, n=5, n=10) \| vary: metric axis (5: lDDT, TM-score, Rep. Similarity, Model Certainty, pTM) \| series: phylogenetic tier (4: similar, medium, dissimilar, random) \| measure: normalised metric value (radial) \| mark: line (closed polygon) \| n: 61 proteins per vertex`",PLOT,,,,,,,,,,,,"3, varying by depth","**A radar chart of five metrics, two of which are monotone transforms of the others' inputs** (`1 − entropy increase` and `1 − C_N cosine distance` alongside pTM and TM-score), so the ""larger enclosed area = better"" heuristic the caption invites double-counts correlated axes. **Enclosed area depends on the arbitrary ordering of the five axes** and on the unstated radial normalisation. Radial tick values are printed but illegible at print size; no axis ranges given",as 1A
feldman2026alphainterp,5C,20,"Model performance under fake-MSA injection at five depths, against the no-MSA reference",heatmap,"`MATRIX \| rows: metric (4: TM-Score, pTM, Cosine Distance, Entropy Delta) \| cols: fake-MSA depth (5: n=1, 10, 20, 50, 100) + 1 separated no-MSA reference column \| value: metric value (printed, 0.384–0.979) \| facet: none (1)`",MATRIX,,,,,,,,,,,,1,"Four metrics with **incompatible directions and units share one colour scale** (0.4–0.9): higher is better for TM-score and pTM, lower is better for cosine distance, and ""entropy delta"" is a normalised uncertainty whose polarity is never stated — so the darkest row (entropy delta, 0.857–0.979) reads as the strongest result when it is the *worst*. **No full-MSA control column**, only a no-MSA one, so the reader cannot see how far below the ceiling everything sits. n = 61 not printed",as 1A
feldman2026alphainterp,5D,20,"Delta Cα–Cα contact recall vs the no-MSA baseline, by tier × depth and sequence-separation bin",bar,"`PLOT \| facet: none (1) \| vary: tier × depth condition (13: similar/medium/dissimilar/random × n=1/5/10, plus fake_n100) \| series: sequence separation bin (4: sequential 1–5, secondary 6–11, medium-range 12–23, long-range ≥24) \| measure: delta contact recall vs the no-MSA baseline \| mark: bar \| n: 61 proteins per bar (fake_n100 also 61)`",PLOT,,,,,,,,,,,,"1, 52 bars","**Recall is computed against the full-MSA control prediction, not against experiment** (p37), so every bar measures agreement with AF3's own output; the axis label ""Delta Contact Recall vs No-MSA"" does not say this. x-tick labels are printed at ~4 pt and are illegible at reproduction size. No error bars on 52 bars over 61 proteins. The `fake_n100` bar — the paper's key null — is squeezed to the far right at ~0 height where it is easiest to miss",as 1A
ferguson2026deorphann,1A,18,Dataset → AF-Multimer workflow: 65 GPCRs × 339 peptides = 22 035 pairs into AlphaFold2-Multimer,schematic,`SCHEMATIC \| dataset composition and the AF-Multimer modelling step \| no data`,SCHEMATIC,,,,,,,,,,,,1,,
ferguson2026deorphann,1B,18,Frequency distribution of agonists per GPCR,bar,"`PLOT \| facet: none (1) \| vary: agonists per GPCR, 0–62 (continuous, binned) \| series: none (1) \| measure: frequency (count of GPCRs) \| mark: bar \| n: 65 GPCRs per panel, 1–17 per bar`",PLOT,,,,,,,,,,,,1,**x-axis broken twice** (20→40 and 45→60) to accommodate the promiscuous tail; the break makes the 61-agonist outlier look adjacent to the mode,
ferguson2026deorphann,1C,18,AF-Multimer models of NPR-11-1 with an agonist (FLP-34-4) and a non-agonist (NLP-36-1),structure render,"`RENDER \| facet: ligand class (2: agonist, non-agonist) \| views: 1 (side-on, membrane normal vertical) \| overlay: NOT REPORTED predictions on 0 references \| axis: none`",RENDER,,,,,,,,,,,,2,Two hand-picked complexes stand for 22 035; no quantitative panel accompanies them and no selection criterion is given,
ferguson2026deorphann,1D,18,Per-GPCR percentage of peptides modelled outside the binding pocket,scatter (dot plot),"`PLOT \| facet: none (1) \| vary: GPCR (65, unordered categorical collapsed to one column) \| series: none (1) \| measure: % peptides modelled outside binding pocket \| mark: point \| n: 339 peptides per point, 65 points per panel`",PLOT,,,,,,,,,,,,1,,
ferguson2026deorphann,1E,18–19,"Proportion inside vs outside the pocket, agonists vs non-agonists",bar (100% stacked),"`PLOT \| facet: none (1) \| vary: ligand class (2: agonist, non-agonist) \| series: pocket occupancy (2: inside, outside) \| measure: % of pairs \| mark: bar \| n: ~457 agonist and ~21 578 non-agonist pairs per bar`",PLOT,,,,,,,,,,,,1,"**y-axis broken and truncated** (jumps from 0 to ~86%, then 86–100), which visually magnifies a 99.8% vs 96.6% difference the text correctly calls non-discriminative; **n not shown on the panel**",
ferguson2026deorphann,1F,18–19,Average precision per GPCR for three AF confidence metrics and random,"scatter (dot plot, log x)","`PLOT \| facet: none (1) \| vary: average precision per GPCR, 0.005–1 (continuous, log) \| series: metric (4: peptide pLDDT, ipTM, pocket PAE, random) \| measure: average precision \| mark: point + mean±SEM crossbar \| n: 1 GPCR per point, 65 points per series`",PLOT,,,,,,,,,,,,1 (4 stacked series rows),,
ferguson2026deorphann,2A,20,AF-Multistate → trim → GPCR-specific template → AF-Multimer with peptide,schematic,"`SCHEMATIC \| the active-state template pipeline: AF2-multistate model, extracellular and low-pLDDT intracellular trimming, template-driven AF-Multimer co-folding \| no data`",SCHEMATIC,,,,,,,,,,,,1,,
ferguson2026deorphann,2B-C,20,"Same peptide NLP-12-1 modelled into an agonist receptor (CKR-1-1) and a non-agonist receptor (FRPR-18-2), each with and without an active-state template; pLDDT-coloured",structure render,"`RENDER \| facet: receptor–ligand class (2: agonist pair CKR-1-1:NLP-12-1, non-agonist pair FRPR-18-2:NLP-12-1) × template (2: none, active state) \| views: 1 (pocket close-up) \| overlay: NOT REPORTED predictions on 0 references \| axis: none`",RENDER,,,,,,,,,,,,4 (2 per letter),"Two exemplars stand for 22 035 complexes; **B and C have opposite left/right template ordering** (B: ""without (left) and with (right)""; C: ""with (left) and without (right)""), which invites misreading",
ferguson2026deorphann,2D,20,"Average precision per GPCR, no template vs active-state template","scatter (dot plot, log x)","`PLOT \| facet: none (1) \| vary: average precision per GPCR, 0.005–1 (continuous, log) \| series: template condition (2: no template, active-state biased template) \| measure: average precision \| mark: point + mean±SEM crossbar \| n: 1 GPCR per point, 65 points per series`",PLOT,,,,,,,,,,,,1 (2 series rows),,
ferguson2026deorphann,2E,20,"Per-GPCR % peptides outside pocket, paired across template conditions, plus the paired differences",scatter with paired connecting lines,"`PLOT \| facet: none (1) \| vary: template condition (2: no template, active state) + difference column (1) \| series: GPCR identity (65, as pairing lines) \| measure: % peptides modelled outside binding pocket, and its paired difference \| mark: point + connecting line \| n: 339 peptides per point, 65 pairs per panel`",PLOT,,,,,,,,,,,,1 (2 sub-columns + a difference axis),The difference sub-panel uses a **second right-hand y-axis on a different scale** in the same frame,
ferguson2026deorphann,2F,20,"Mean pLDDT gain from the active-state template, agonists vs non-agonists",bar,"`PLOT \| facet: none (1) \| vary: ligand class (2: agonist, non-agonist) \| series: none (1) \| measure: peptide pLDDT difference (active-state template − no template) \| mark: bar + SEM whisker \| n: ~457 agonist and ~21 578 non-agonist complexes per bar`",PLOT,,,,,,,,,,,,1,"**Two bars hide two distributions of ~457 and ~21 578 paired values**; only mean ± SEM is drawn, so the overlap between the classes — which is what ""preferentially improves agonists"" needs — is invisible; **n not shown**",
ferguson2026deorphann,3A,21,How single (ℝ^{n×256}) and pair (ℝ^{n×n×128}) representations are pooled over four residue subregions,schematic,`SCHEMATIC \| tensor-slicing and local average pooling of AF-Multimer single and pair representations into GPCR / GPCR-bp / peptide / bp-peptide feature vectors \| no data`,SCHEMATIC,,,,,,,,,,,,1,,
ferguson2026deorphann,3B-C,21,"Random-forest performance by representation type and subregion, in ROC and PR space",scatter (dot plot),"`PLOT \| facet: metric (2: ROC-AUC in B, PR-AUC in C) \| vary: subregion (3: GPCR, GPCR bp, peptide) \| series: representation type (2: single, pair) \| measure: ROC-AUC (B) + precision-recall AUC (C) \| mark: point + mean bar \| n: 1 CV fold per point, 10 folds per series`",PLOT,,,,,,,,,,,,"2 (one metric each, identical faceting → one row per the v3 worked example)","y-axes do not share a range between B (0.2–1.0) and C (0.0–0.4), which is correct but makes the two panels look more similar than they are",
ferguson2026deorphann,3D,21,"Per-family AP, single vs pair representations, leave-one-group-out","scatter (dot plot, log x)","`PLOT \| facet: none (1) \| vary: average precision, 0.005–1 (continuous, log) \| series: representation type (2: single, pair) \| measure: average precision per GPCR family \| mark: point + mean±SEM crossbar \| n: 1 family per point, 55 gene groups per series`",PLOT,,,,,,,,,,,,1 (2 series rows),,
ferguson2026deorphann,3E,21,Per-family AP across three pair-representation subregions,"scatter (dot plot, log x)","`PLOT \| facet: none (1) \| vary: average precision, 0.005–1 (continuous, log) \| series: pair subregion (3: bp/peptide, GPCR bp, peptide) \| measure: average precision per GPCR family \| mark: point + mean±SEM crossbar \| n: 1 family per point, 55 gene groups per series`",PLOT,,,,,,,,,,,,1 (3 series rows),,
ferguson2026deorphann,3F,21,Which subregion predicts which GPCR family,heatmap,"`MATRIX \| rows: GPCR family (57 labelled rows, AEX-2 … TRHR-1) \| cols: pair subregion (3: peptide, GPCR bp, bp/peptide) \| value: average precision (0–1, sequential colourbar) \| facet: none (1)`",MATRIX,,,,,,,,,,,,1,"Values readable only as colour; **no numeric table anywhere in the paper**, and the SI holding per-pair data is not bound in",
ferguson2026deorphann,4A,23,"Graph representation: peptide nodes, GPCR nodes, sequence edges, Arpeggio edges, edge features",schematic,`SCHEMATIC \| the GPCR-peptide graph and its two edge types \| no data`,SCHEMATIC,,,,,,,,,,,,1,,
ferguson2026deorphann,4B,23,Arpeggio-identified interatomic interactions drawn on one predicted complex,structure render,"`RENDER \| facet: none (1) \| views: 2 (whole complex, and a zoomed pocket inset) \| overlay: NOT REPORTED predictions on 0 references \| axis: none`",RENDER,,,,,,,,,,,,1 (+ inset),,
ferguson2026deorphann,4C,23,Pair-representation slicing into GPCR / peptide / interaction subregions and pooling into node and edge features,schematic,`SCHEMATIC \| per-residue cross-axis pooling of pair-representation sub-tensors into 128-d node embeddings and interaction edge features \| no data`,SCHEMATIC,,,,,,,,,,,,1,,
ferguson2026deorphann,4D,23,2×2 ablation of edge definition and edge features,scatter (dot plot),"`PLOT \| facet: none (1) \| vary: edge features (2: absent, present) \| series: edge definition (2: 6 Å distance edges, Arpeggio edges) \| measure: mAP \| mark: point + mean±SEM crossbar \| n: 1 CV split per point, 11 shuffle-groups-out splits per series`",PLOT,,,,,,,,,,,,1 (4 groups),"**y-axis truncated to 0.36–0.46 and does not include zero or the random baseline (0.035)**, which visually inflates a ~0.05 mAP spread into the full panel height",
ferguson2026deorphann,4E,23,"Per-GPCR AP, DeorphaNN vs peptide pLDDT","scatter (dot plot, log x)","`PLOT \| facet: none (1) \| vary: average precision, 0.002–1 (continuous, log) \| series: predictor (2: peptide pLDDT, GNN prediction) \| measure: average precision per GPCR \| mark: point + mean±SEM crossbar \| n: 1 GPCR per point, ~57 points per series`",PLOT,,,,,,,,,,,,1 (2 series rows),,
ferguson2026deorphann,4F,23,Which GPCRs DeorphaNN rescues relative to pLDDT,heatmap,"`MATRIX \| rows: predictor (2: peptide pLDDT, GNN prediction) \| cols: GPCR (57, labelled) \| value: average precision (0–1, sequential colourbar) \| facet: none (1)`",MATRIX,,,,,,,,,,,,1,Column labels are rotated and set at a size that is unreadable at print scale; values are colour-only with no numeric table,
ferguson2026deorphann,5A-C,25,"Cross-species generalisation: *Platynereis*, human-trained → *C. elegans*, and DeorphaNN vs SpatialPPIv2 vs random on human","scatter (dot plot, log x)","`PLOT \| facet: evaluation arm (3: A *Platynereis* n=17–18 GPCRs, B human-trained model on *C. elegans* n=65, C augmented human n=82) \| vary: average precision, 0.005–1 (continuous, log) \| series: predictor (2 in A and B; 3 in C: DeorphaNN, SpatialPPIv2, random) \| measure: average precision per GPCR \| mark: point + mean±SEM crossbar \| n: 1 GPCR per point; 17–18 (A), 65 (B), 82 (C) points per series`",PLOT,,,,,,,,,,,,"3 (identical mark and measure, differ only by dataset → one row per the v3 split rule)","Panel C's negatives are **synthetic** (ESM-2 dissimilarity, threshold 3.9 fixed on this dataset) and the panel does not say so; the caption calls it an ""augmented"" dataset only",
ferguson2026deorphann,5D,25,"Per-GPCR AP, DeorphaNN vs SpatialPPIv2 on the human set",heatmap,"`MATRIX \| rows: predictor (2: SpatialPPIv2, DeorphaNN) \| cols: human GPCR (82, labelled) \| value: average precision (0–1, sequential colourbar) \| facet: none (1)`",MATRIX,,,,,,,,,,,,1,"82 rotated column labels, unreadable at print scale; colour-only values with no numeric table",
ferguson2026deorphann,6A-C,26,Concentration–response curves for the three newly confirmed receptor–peptide pairs,line (sigmoid fit) + point,"`PLOT \| facet: receptor–peptide pair (3: H23L24-4-1+NLP-69-1, NPR-33-1+NLP-70-2, NPR-33-1+NLP-70-1) \| vary: log peptide concentration (continuous) \| series: none (1) \| measure: % of maximal calcium response \| mark: point + fitted sigmoid line with error bars \| n: 6 replicates per point, n = 6 per panel`",PLOT,,,,,,,,,,,,3,,
ferguson2026deorphann,S1A-B,27,"Distribution of agonists-by-gene per GPCR, and of peptide length",bar (histogram),"`PLOT \| facet: quantity binned (2: A agonist genes per GPCR 0–30, B peptide length 3–37 AA) \| vary: bin (continuous, binned) \| series: none (1) \| measure: frequency (count) \| mark: bar \| n: 65 GPCRs (A), 339 peptides (B) per panel`",PLOT,,,,,,,,,,,,2 (same mark and measure → one row),"Panel A's **x-axis is broken** between 10 and 20 and again at 25, hiding how isolated the promiscuous tail is",
ferguson2026deorphann,S1C-D,27,"ROC and PR curves for the three confidence metrics, pooled over all pairs",line,"`PLOT \| facet: curve type (2: C ROC, D precision-recall) \| vary: false positive rate 0–1 (C) / recall 0–1 (D) (continuous) \| series: metric (4: peptide pLDDT, ipTM, pocket PAE, no-skill) \| measure: true positive rate (C) + precision (D) \| mark: line \| n: 22 035 pairs pooled per curve, NOT REPORTED per point`",PLOT,,,,,,,,,,,,"2 (identical faceting, two metrics → one row per the v3 worked example)","**These panels carry the paper's most damaging number and it is only in the legend:** PR-AUC 0.09/0.07/0.06 against ROC-AUC 0.77/0.76/0.71. Neither AUC set appears in the main text. Curves are **pooled across all 65 GPCRs**, not per receptor, so they weight promiscuous receptors heavily — the exact bias the paper elsewhere adopts mAP to avoid",
ferguson2026deorphann,S2A,28,Per-GPCR benefit of edge features on Arpeggio graphs,box,"`PLOT \| facet: none (1) \| vary: GPCR (~57, labelled categorical) \| series: GPCR (~57, colour, redundant with vary) \| measure: relative difference in AP (with edge features − without) \| mark: box with whiskers and outlier points \| n: 11 shuffle-groups-out splits per box, ~57 boxes per panel`",PLOT,,,,,,,,,,,,1,Colour encodes the same variable as the x-axis and carries no information; a single ~25 outlier stretches the y-axis so ~50 of the ~57 boxes are compressed into a flat band at 0,
ferguson2026deorphann,S2B,28,Whether averaging representations over 5 AF models beats using one selected model,scatter (dot plot),"`PLOT \| facet: none (1) \| vary: model-selection strategy (3: 5-model average, rank-001 model, highest peptide pLDDT model) \| series: none (1) \| measure: ROC-AUC \| mark: point + mean±SEM crossbar \| n: 1 CV fold per point, ~10 folds per strategy`",PLOT,,,,,,,,,,,,1,"**y-axis truncated to 0.6–0.9**, excluding the 0.5 chance line, which magnifies a ~0.04 AUC difference",
ferguson2026deorphann,S2C-D,28,"Assay specificity controls: empty-plasmid transfection, and an off-target peptide on the deorphanized receptor",bar,"`PLOT \| facet: control type (2: C empty plasmid vs three peptides, D H23L24-4-1 vs BSA/ATP/FLP-21-1/NLP-69-1) \| vary: peptide or control (3 in C, 4 in D) \| series: stimulus class (3 in C: ATP, BSA, peptide; 1 in D) \| measure: ratio of total calcium response \| mark: bar + SEM whisker \| n: NOT REPORTED per bar`",PLOT,,,,,,,,,,,,2 (same mark and measure → one row),"**n is not reported for any bar** in either panel, in the two panels that carry the specificity controls for the paper's only new wet-lab claim",
georgiou2025heterogeneity,1,2,"**The canonical microswitch figure.** Overlay of A2AR fully active (blue, 5G53, NECA−A2AR−mini-Gs) on inactive (green, 4EIY, ZM241385), with four insets showing the microswitches that change: (A) toggle switch W6.48 rotamer, top view; (B) PIF motif coupled motion, side view; (C) TM3−TM6 ionic lock and TM6 outward displacement, side view; (D) NPxxY inward/outward shift, side view",structure render,"`RENDER \| facet: microswitch (4: CWxP/W6.48, PIF, ionic lock + TM6 outward, NPxxY) \| views: 2 (top view for A, side view for B–D) + 1 whole-receptor overlay \| overlay: 0 predictions on 2 reference(s) (5G53, 4EIY) \| axis: none`",RENDER,,,,,,,,,,,,"1 whole-receptor cartoon overlay + 4 lettered insets (A–D); insets vary by microswitch, not by system","The overlay is qualitative only: **no distance, angle or RMSD is annotated on any panel**, although the body text (pp.7, 24) supplies exactly those numbers. A reader taking the state criteria from the figure alone gets no values. Hydrogens omitted (stated)","CC-BY 4.0, p.1; ""figure inspired by ref 58"""
georgiou2025heterogeneity,2,4,"The G-protein cycle: Gα conformational changes from GPCR coupling with GDP bound, through GDP dissociation and the nucleotide-free complex, to GTP binding, heterotrimer activation, Gβγ release and separation from the receptor",schematic,"`SCHEMATIC \| membrane-embedded cartoon strip of six labelled stages of the GPCR−Gαβγ nucleotide cycle (agonist; G-protein/GPCR association; nucleotide-free complex; GTP-bound open AHD; GTP-bound closed AHD; functional dissociation), with GDP/GTP and Cα5/RLD/AHD annotated \| no data`",SCHEMATIC,,,,,,,,,,,,"6 cartoon stages in a single horizontal membrane strip, left to right, with arrows; no lettering",,"CC-BY 4.0, p.1"
georgiou2025heterogeneity,3,9,"**The free-energy landscape figure — the visual definition of the five-state model.** A drawn free-energy profile along a TM6-activation reaction coordinate, with the five minima labelled S1^TM6, S2^TM6, I1^TM6, I2^TM6, A^TM6, under five ligand/transducer conditions",line (drawn energy profile),"`SCHEMATIC \| free-energy profile of A2AR along a TM6 activation coordinate, five curves for apoprotein / +partial agonist / +full agonist / +G protein / +full agonist +G protein, with five labelled minima S1TM6 S2TM6 I1TM6 I2TM6 ATM6 \| no data`",SCHEMATIC,,,,,,,,,,,,"1 panel; 5 overlaid coloured curves (the condition is the legend dimension, shown as five colour-coded header labels)","**Yes, and this is the important one.** The figure is drawn *as if* quantitative — it has a ""Free Energy"" ordinate and an ""Activation (TM6)"" abscissa — but **neither axis carries units, ticks, or a single number**, and no curve is derived from data. The relative well depths, which are what a reader takes away about state populations, are **illustrative and not measured**. The barrier heights that *are* measured (∼7−15 kcal/mol, p.12) and the populations that *are* measured (section E.2) appear nowhere on it. Treat as a concept diagram, never as evidence","CC-BY 4.0, p.1; ""figure inspired by ref 153"""
georgiou2025heterogeneity,4,10,"**The state-inventory figure.** Membrane cartoons of the five functional TM6 states (S1, S2 inactive; I1, I2, A active-region) plus the +GTP forms of A^TM6 and I2^TM6, with a legend distinguishing ionic lock ""on"" / ""off"", agonist, GDP and GTP",schematic,"`SCHEMATIC \| seven membrane-embedded receptor cartoons labelled S1TM6, S2TM6, I1TM6, ATM6, I2TM6, ATM6+GTP, I2TM6+GTP, showing G-protein engagement and ionic-lock status, with a four-item symbol legend \| no data`",SCHEMATIC,,,,,,,,,,,,"7 labelled cartoon states in a 2+3+2 arrangement, plus a legend block; states vary by conformation and by nucleotide/transducer occupancy","The ionic lock is drawn as a **binary on/off glyph**, which is exactly the simplification the body text (p.3) says is wrong — the same lock state occurs on both sides of the S1/S2 boundary and does not separate inactive from active. The figure and the text disagree in emphasis; the caption is where the nuance lives","CC-BY 4.0, p.1; ""figure inspired by ref 153"""
georgiou2025heterogeneity,5,19,"TM6 conformations through G-protein activation, mapped onto FRET level: a left-to-right strip of receptor−G cartoons banded as GDP-bound → nucleotide-free → GTP-bound, each labelled High / Int / Low / Int / High FRET",schematic,"`SCHEMATIC \| seven receptor−Gαβγ cartoons in a horizontal strip banded by nucleotide state (GDP Bound / GTP Bound) and annotated with the FRET level each state gives (High, Int, Low, Int, High) \| no data`",SCHEMATIC,,,,,,,,,,,,"7 cartoons in one strip, grouped into 3 shaded bands; varies by nucleotide state and FRET level","The caption discloses the key weakness itself and it should be quoted whenever the figure is used: *""the low-FRET β2AR−Gs(GTP) complex was **deduced rather than seen experimentally**""* — one of the seven states shown is an inference, not an observation, and the figure does not distinguish it visually","CC-BY 4.0, p.1; ""figure inspired by ref 97"""
georgiou2025heterogeneity,6,19,"Agonist-facilitated G-protein coupling and GDP release, drawn as a branch: open inactive low-affinity R; agonist binding; the two routes to a closed active R\* with and without agonist (the lower branch is basal activity); ending in closed, active, high-affinity R\* with GDP released",schematic,"`SCHEMATIC \| branching cartoon of receptor−Gαβγ states annotated ""open, inactive, low affinity"" / ""closed, active"" / ""closed, active, high affinity"", showing GDP release on both an agonist-driven and a basal-activity route \| no data`",SCHEMATIC,,,,,,,,,,,,"5 cartoon states on 2 branches (agonist-driven upper, constitutive lower)",,"CC-BY 4.0, p.1; ""figure inspired by ref 230"""
