slug,gene,uniprot,receptor_organism,verdict,family_primary,family_compatible_with_all,recommended_family,recommended_basis,family_secondary_annotated,subtype_reported,authority_assaylabs,authority_gproteindb_merged,authority_gtopdb_via_gproteindb,authority_iuphar_direct_primary,authority_iuphar_direct_all,authority_iuphar_text,authority_structure,structure_evidence,structure_construct_notes,active_ref_has_galpha,n_authorities,blockb_prior,blockb_prior_family,blockb_prior_check,blockb_prior_vs_structure,reason
MTR1A,MTNR1A,P48039,Homo sapiens (Human),cognate_ambiguous,Gi/o,Gi/o,Gi/o,the only family compatible with all 5 authorities,Gq/11,Gi1(1);GoA(1),Bouvier=Gi/o;Martemyanov=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o;Gq/11,G i /G o family || G q /G 11 family,Gi/o,7VGY:Gi1/Gi2,,yes,5,,,,,"primary agreed (Gi/o) but Gq/11 is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
MTR1B,MTNR1B,P49286,Homo sapiens (Human),cognate_ambiguous,Gi/o,Gi/o,Gi/o,the only family compatible with all 5 authorities,Gq/11,Gi1(1);GoA(1),Bouvier=Gi/o;Martemyanov=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o,G i /G o family || ,Gi/o,7VH0:Gi1/Gi2,,yes,5,,,,,"primary agreed (Gi/o) but Gq/11 is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
NK1R,TACR1,P25103,Homo sapiens (Human),cognate_conflicted,Gq/11;Gs,,Gs,"taken from the deposited active reference, following chiesa2025templatebias p.6302 -- the one precedent in the corpus for picking a single Ga",G12/13;Gi/o,Gq(1),Martemyanov=Gq/11,Gq/11,Gq/11;Gs,Gs;Gq/11,Gs;Gq/11,"G s family, G q /G 11 family",Gs,8U26:Gs,8U26 mini-G (248 aa; full subunit is 350-395),yes,4,,,,,authorities that cannot both be right: active reference structure=Gs vs assay:Martemyanov=Gq/11
NPY1R,NPY1R,P25929,Homo sapiens (Human),cognate_confident,Gi/o,Gi/o,Gi/o,the only family compatible with all 5 authorities,,Gz(1);GoA(1),Bouvier=Gi/o;Martemyanov=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o,G i /G o family,Gi/o,7VGX:Gi1/Gi2; 7X9A:Gi1/Gi2,,yes,5,Gi,Gi/o,prior consistent,prior matches the deposited partner,5 authorities agree on Gi/o and none annotates a further transducer
NPY2R,NPY2R,P49146,Homo sapiens (Human),cognate_ambiguous,Gi/o,Gi/o,Gi/o,the only family compatible with all 4 authorities,Gq/11,GoA(1),Martemyanov=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o;Gq/11,G i /G o family || G q /G 11 family,Gi/o,7YON:Gi1/Gi2; 8K6N:Gi1/Gi2,,yes,4,Gi,Gi/o,prior consistent,prior matches the deposited partner,"primary agreed (Gi/o) but Gq/11 is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
NTR1,NTSR1,P30989,Homo sapiens (Human),cognate_conflicted,Gi/o;Gq/11,,Gi/o,"taken from the deposited active reference, following chiesa2025templatebias p.6302 -- the one precedent in the corpus for picking a single Ga",G12/13;Gs,Gq(1);G11(1),Martemyanov=Gq/11;Roth=Gq/11,Gq/11,Gq/11,Gq/11,Gq/11;Gs;Gi/o,"G q /G 11 family || G s family, G i /G o family",Gi/o,6OS9:Gi1/Gi2; 8FN1:Go,8FN1 mini-G (228 aa; full subunit is 350-395),yes,5,,,,,authorities that cannot both be right: GtoPdb(via GproteinDb)=Gq/11 vs active reference structure=Gi/o; IUPHAR(direct)=Gq/11 vs active reference structure=Gi/o; active reference structure=Gi/o vs assay:Martemyanov=Gq/11; active reference structure=Gi/o vs assay:Roth=Gq/11
OPRD,OPRD1,P41143,Homo sapiens (Human),cognate_ambiguous,Gi/o,Gi/o,Gi/o,the only family compatible with all 5 authorities,G12/13;Gq/11,Gz(1);GoA(1),Bouvier=Gi/o;Martemyanov=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o,G i /G o family,Gi/o,8F7S:Gi1/Gi2,,yes,5,Gi,Gi/o,prior consistent,prior matches the deposited partner,"primary agreed (Gi/o) but G12/13;Gq/11 is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
OPRK,OPRK1,P41145,Homo sapiens (Human),cognate_ambiguous,Gi/o,Gi/o,Gi/o,the only family compatible with all 5 authorities,G12/13;Gq/11,GoB(1);GoA(1),Bouvier=Gi/o;Martemyanov=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o;G12/13,"G i /G o family || G i /G o family, G 12 /G 13 family",Gi/o,8FEG:Gi1/Gi2,,yes,5,Gi,Gi/o,prior consistent,prior matches the deposited partner,"primary agreed (Gi/o) but G12/13;Gq/11 is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
OPRM,Oprm1,P42866,Mus musculus (Mouse),cognate_ambiguous,Gi/o,Gi/o,Gi/o,the only family compatible with all 5 authorities,Gq/11,Gi1(2);Gz(1);GoA(1),Bouvier=Gi/o;Lambert=Gi/o;Martemyanov=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o;Gq/11,G i /G o family || G q /G 11 family,,,,no,5,,,,,"primary agreed (Gi/o) but Gq/11 is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
OPRX,OPRL1,P41146,Homo sapiens (Human),cognate_ambiguous,Gi/o,Gi/o,Gi/o,the only family compatible with all 5 authorities,Gq/11,Gz(1);GoA(1),Bouvier=Gi/o;Martemyanov=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o,G i /G o family || G i /G o family,Gi/o,8F7X:Gi1/Gi2,,yes,5,Gi,Gi/o,prior consistent,prior matches the deposited partner,"primary agreed (Gi/o) but Gq/11 is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
OPSD,RHO,P02699,Bos taurus (Bovine),cognate_ambiguous,Gi/o,Gi/o,Gi/o,the only family compatible with all 1 authorities,,,,,,,,,Gi/o,4X1H:Ggust/Gt1/Gt2,4X1H mini-G (11 aa; full subunit is 350-395); C-TERMINUS UNRECOGNISED at 11 (0.64),yes,1,Gt,Gi/o,prior consistent,prior matches the deposited partner,only one authority available (active reference structure)
OX2R,HCRTR2,O43614,Homo sapiens (Human),cognate_ambiguous,Gi/o;Gq/11;Gs,Gq/11,Gq/11,the only family compatible with all 5 authorities,G12/13,Gq(2),Bouvier=Gq/11;Martemyanov=Gq/11,Gq/11,Gi/o;Gq/11;Gs,Gq/11,Gq/11,G q /G 11 family,Gq/11,7L1V:G11/G14/Gq,"7L1V mini-G (244 aa; full subunit is 350-395); COUPLING CHIMERA (two-window): scaffold from one family, alpha5 tip from G11/G14/Gq",yes,5,Gq,Gq/11,prior consistent,prior matches the deposited partner,authorities are compatible on Gq/11 but at least one reports a wider set (Gi/o;Gq/11;Gs)
OXYR,OXTR,P30559,Homo sapiens (Human),cognate_ambiguous,Gi/o;Gq/11,Gq/11,Gq/11,the only family compatible with all 6 authorities,,Gq(3),Bouvier=Gq/11;Lambert=Gq/11;Martemyanov=Gq/11,Gq/11,Gq/11,Gi/o;Gq/11,Gi/o;Gq/11,"G i /G o family, G q /G 11 family || G i /G o family",Gq/11,7RYC:G11/G14/Gq,"7RYC COUPLING CHIMERA (two-window): scaffold from one family, alpha5 tip from G11/G14/Gq; fused chain",yes,6,,,,,authorities are compatible on Gq/11 but at least one reports a wider set (Gi/o;Gq/11)
PD2R2,PTGDR2,Q9Y5Y4,Homo sapiens (Human),cognate_confident,Gi/o,Gi/o,Gi/o,the only family compatible with all 4 authorities,,GoA(1),Martemyanov=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o,G i /G o family,Gi/o,8XXV:Gi1/Gi2,,yes,4,,,,,4 authorities agree on Gi/o and none annotates a further transducer
PE2R4,PTGER4,P35408,Homo sapiens (Human),cognate_conflicted,G12/13;Gi/o;Gs,,Gs,NONE -- plurality of 6 authorities only; needs a PI decision,Gq/11,GsL(2);G12(1),Bouvier=Gs;Inoue=G12/13;Martemyanov=Gs,Gs,Gs,Gs,Gs;Gi/o,G s family || G i /G o family,Gi/o;Gs,8GCP:Gi1/Gi2; 8GDB:Gs,,yes,6,,,,,authorities that cannot both be right: GtoPdb(via GproteinDb)=Gs vs assay:Inoue=G12/13; IUPHAR(direct)=Gs vs assay:Inoue=G12/13; active reference structure=Gi/o/Gs vs assay:Inoue=G12/13; assay:Bouvier=Gs vs assay:Inoue=G12/13; assay:Inoue=G12/13 vs assay:Martemyanov=Gs
S1PR1,S1PR1,P21453,Homo sapiens (Human),cognate_ambiguous,Gi/o,Gi/o,Gi/o,the only family compatible with all 4 authorities,G12/13;Gq/11,Gi1(1),Bouvier=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o,G i /G o family,Gi/o,7TD4:Gi1/Gi2,,yes,4,,,,,"primary agreed (Gi/o) but G12/13;Gq/11 is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
S1PR5,S1PR5,Q9H228,Homo sapiens (Human),cognate_ambiguous,G12/13;Gi/o,Gi/o,Gi/o,the only family compatible with all 3 authorities,,,,G12/13;Gi/o,G12/13;Gi/o,Gi/o;G12/13,Gi/o;G12/13,"G i /G o family, G 12 /G 13 family",Gi/o,7EW1:Gi1/Gi2,,yes,3,,,,,authorities are compatible on Gi/o but at least one reports a wider set (G12/13;Gi/o)
SSR2,SSTR2,P30874,Homo sapiens (Human),cognate_ambiguous,Gi/o,Gi/o,Gi/o,the only family compatible with all 5 authorities,G12/13;Gq/11,Gz(1);GoA(1),Bouvier=Gi/o;Martemyanov=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o,G i /G o family,Gi/o,7T10:Gi3,,yes,5,,,,,"primary agreed (Gi/o) but G12/13;Gq/11 is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
TA2R,TBXA2R,P21731,Homo sapiens (Human),cognate_conflicted,G12/13;Gq/11,,Gq/11,"taken from the deposited active reference, following chiesa2025templatebias p.6302 -- the one precedent in the corpus for picking a single Ga",,G12(1);Gq(1);G13(1),Inoue=G12/13;Lambert=Gq/11;Martemyanov=G12/13,G12/13,Gq/11,Gq/11,Gq/11,G q /G 11 family,Gq/11,8XJN:G11/G14/Gq,"8XJN mini-G (246 aa; full subunit is 350-395); COUPLING CHIMERA (two-window): scaffold from one family, alpha5 tip from G11/G14/Gq",yes,6,,,,,authorities that cannot both be right: GtoPdb(via GproteinDb)=Gq/11 vs assay:Inoue=G12/13; GtoPdb(via GproteinDb)=Gq/11 vs assay:Martemyanov=G12/13; IUPHAR(direct)=Gq/11 vs assay:Inoue=G12/13; IUPHAR(direct)=Gq/11 vs assay:Martemyanov=G12/13; active reference structure=Gq/11 vs assay:Inoue=G12/13; active reference structure=Gq/11 vs assay:Martemyanov=G12/13; assay:Inoue=G12/13 vs assay:Lambert=Gq/11; assay:Lambert=Gq/11 vs assay:Martemyanov=G12/13
TSHR,TSHR,P16473,Homo sapiens (Human),cognate_ambiguous,Gs,Gs,Gs,the only family compatible with all 3 authorities,Gq/11,,,Gs,Gs,Gs,Gs;Gq/11,G s family || G q /G 11 family,Gs,7UTZ:Gs,7UTZ mini-G (261 aa; full subunit is 350-395),yes,3,,,,,"primary agreed (Gs) but Gq/11 is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
