experiment_slug_or_cluster,receptor,receptor_class,backbone,partner_type,n,n_pass,pass_rate,n_active,n_inactive,n_borderline,frac_active,median_d_tm6,median_d_npxxy,median_plddt_at_anchors
outputs/of3_multimer_antag_noga_full,OX2R,A,of3,antagonist,5,5,100.0%,0,5,0,0.00,9.09,17.43,72.68
outputs/of3_multimer_antag_noga_full,OXYR,A,of3,antagonist,5,5,100.0%,0,5,0,0.00,8.78,18.31,67.75
outputs/of3_multimer_antag_noga_full,PD2R2,A,of3,antagonist,5,5,100.0%,0,5,0,0.00,11.83,18.78,70.53
outputs/of3_multimer_antag_noga_full,S1PR5,A,of3,antagonist,5,5,100.0%,0,4,1,0.00,12.77,16.46,62.11
outputs/of3_multimer_w8c_wrongagonist,5HT2A,A,of3,wrong_agonist,5,5,100.0%,0,0,0,0.00,12.91,15.43,86.92
outputs/of3_multimer_w8c_wrongagonist,AA2AR,A,of3,wrong_agonist,5,5,100.0%,0,0,0,0.00,17.97,13.70,88.05
outputs/of3_multimer_w8c_wrongagonist,ACM2,A,of3,wrong_agonist,5,5,100.0%,5,0,0,1.00,14.49,13.85,92.38
outputs/of3_multimer_w8c_wrongagonist,DRD2,A,of3,wrong_agonist,5,5,100.0%,5,0,0,1.00,15.83,14.87,81.64
outputs/of3_multimer_w8d_neutral,AA2AR,A,of3,neutral_ligand,5,5,100.0%,0,0,0,0.00,18.13,13.57,86.50
outputs/of3_multimer_w8d_neutral,ACM2,A,of3,neutral_ligand,5,5,100.0%,5,0,0,1.00,14.62,13.79,91.96
outputs/of3_multimer_w8d_neutral,ADRB2,A,of3,neutral_ligand,5,5,100.0%,5,0,0,1.00,19.27,14.57,86.44
outputs/of3_multimer_w8d_neutral,DRD2,A,of3,neutral_ligand,5,5,100.0%,5,0,0,1.00,15.23,15.00,80.34
outputs/protenix_bidirectional_arrestin,,,protenix,arrestin,5,0,0.0%,0,0,0,0.00,,,
outputs/protenix_bidirectional_arrestin,5HT2A,A,protenix,arrestin,5,5,100.0%,0,5,0,0.00,9.58,16.64,81.17
outputs/protenix_bidirectional_arrestin,AA1R,A,protenix,arrestin,5,5,100.0%,0,5,0,0.00,8.13,17.91,91.99
outputs/protenix_bidirectional_arrestin,ACM2,A,protenix,arrestin,5,5,100.0%,5,0,0,1.00,14.81,13.68,83.99
outputs/protenix_bidirectional_arrestin,ACM4,A,protenix,arrestin,5,5,100.0%,0,5,0,0.00,9.12,17.66,85.72
outputs/protenix_bidirectional_arrestin,CCR5,A,protenix,arrestin,5,5,100.0%,0,5,0,0.00,9.10,19.56,84.74
outputs/protenix_bidirectional_arrestin,CNR1,A,protenix,arrestin,5,5,100.0%,5,0,0,1.00,14.60,13.51,80.32
outputs/protenix_bidirectional_arrestin,CXCR4,A,protenix,arrestin,5,5,100.0%,5,0,0,1.00,13.33,14.07,81.45
outputs/protenix_bidirectional_arrestin,DRD2,A,protenix,arrestin,5,5,100.0%,5,0,0,1.00,13.96,14.85,79.87
outputs/protenix_bidirectional_arrestin,EDNRB,A,protenix,arrestin,5,5,100.0%,0,5,0,0.00,7.68,18.66,77.03
outputs/protenix_bidirectional_arrestin,HRH1,A,protenix,arrestin,5,5,100.0%,0,5,0,0.00,10.76,15.77,77.03
outputs/protenix_bidirectional_arrestin,HRH3,A,protenix,arrestin,5,5,100.0%,0,5,0,0.00,8.90,17.25,82.96
outputs/protenix_bidirectional_arrestin,NK1R,A,protenix,arrestin,5,5,100.0%,0,0,0,0.00,8.67,17.84,89.96
outputs/protenix_bidirectional_arrestin,OPRM,A,protenix,arrestin,5,5,100.0%,0,5,0,0.00,8.54,19.15,91.23
outputs/protenix_bidirectional_arrestin,OXYR,A,protenix,arrestin,5,5,100.0%,0,5,0,0.00,8.43,18.58,85.94
outputs/protenix_multimer_aa2ar_n50,AA2AR,A,protenix,cognate_ga,50,50,100.0%,0,0,0,0.00,18.06,13.64,87.67
outputs/protenix_multimer_alpha5,,,protenix,α5_ct_fragment,5,0,0.0%,0,0,0,0.00,,,
outputs/protenix_multimer_alpha5,5HT2A,A,protenix,α5_ct_fragment,5,5,100.0%,0,5,0,0.00,8.85,18.10,74.74
outputs/protenix_multimer_alpha5,5HT2C,A,protenix,α5_ct_fragment,5,5,100.0%,0,5,0,0.00,9.52,18.07,75.76
outputs/protenix_multimer_alpha5,AA2AR,A,protenix,α5_ct_fragment,5,5,100.0%,0,0,0,0.00,7.83,18.05,84.46
outputs/protenix_multimer_alpha5,ACM2,A,protenix,α5_ct_fragment,5,5,100.0%,5,0,0,1.00,14.62,13.80,91.89
outputs/protenix_multimer_alpha5,ADRB2,A,protenix,α5_ct_fragment,5,5,100.0%,5,0,0,1.00,17.73,14.29,86.70
outputs/protenix_multimer_alpha5,CCR8,A,protenix,α5_ct_fragment,5,5,100.0%,5,0,0,1.00,13.90,13.78,89.99
outputs/protenix_multimer_alpha5,DRD2,A,protenix,α5_ct_fragment,5,5,100.0%,0,5,0,0.00,8.05,18.31,82.51
outputs/protenix_multimer_alpha5,EDNRB,A,protenix,α5_ct_fragment,5,5,100.0%,0,5,0,0.00,7.61,18.52,73.87
outputs/protenix_multimer_alpha5,NK1R,A,protenix,α5_ct_fragment,5,5,100.0%,0,0,0,0.00,8.76,17.84,87.69
outputs/protenix_multimer_alpha5,OPRM,A,protenix,α5_ct_fragment,5,5,100.0%,0,0,0,0.00,14.38,13.90,91.82
outputs/protenix_multimer_alpha5,PD2R2,A,protenix,α5_ct_fragment,5,5,100.0%,0,5,0,0.00,11.97,19.39,80.42
outputs/protenix_multimer_antag_ga_full,5HT1B,A,protenix,antagonist,5,5,100.0%,0,0,5,0.00,17.57,13.94,90.40
outputs/protenix_multimer_antag_ga_full,5HT2A,A,protenix,antagonist,5,5,100.0%,0,0,0,0.00,13.35,15.14,87.49
outputs/protenix_multimer_antag_ga_full,AA1R,A,protenix,antagonist,5,5,100.0%,5,0,0,1.00,16.10,14.12,89.30
outputs/protenix_multimer_antag_ga_full,AA2AR,A,protenix,antagonist,5,5,100.0%,0,0,0,0.00,18.02,13.69,90.43
outputs/protenix_multimer_antag_ga_full,ACM2,A,protenix,antagonist,5,5,100.0%,5,0,0,1.00,14.72,13.77,91.51
outputs/protenix_multimer_antag_ga_full,ACM4,A,protenix,antagonist,5,5,100.0%,5,0,0,1.00,15.34,13.60,91.37
outputs/protenix_multimer_antag_ga_full,ADA1A,A,protenix,antagonist,5,5,100.0%,0,5,0,0.00,16.57,14.10,86.33
outputs/protenix_multimer_antag_ga_full,ADRB2,A,protenix,antagonist,5,5,100.0%,5,0,0,1.00,17.87,14.19,88.21
outputs/protenix_multimer_antag_ga_full,CCKAR,A,protenix,antagonist,5,5,100.0%,5,0,0,1.00,13.95,13.65,90.52
outputs/protenix_multimer_antag_ga_full,CCR2,A,protenix,antagonist,5,5,100.0%,5,0,0,1.00,14.51,14.10,90.07
outputs/protenix_multimer_antag_ga_full,CCR5,A,protenix,antagonist,5,5,100.0%,5,0,0,1.00,14.41,14.19,89.03
outputs/protenix_multimer_antag_ga_full,CNR1,A,protenix,antagonist,5,5,100.0%,5,0,0,1.00,14.01,13.50,90.18
outputs/protenix_multimer_antag_ga_full,CXCR4,A,protenix,antagonist,5,5,100.0%,5,0,0,1.00,13.50,13.89,90.23
outputs/protenix_multimer_antag_ga_full,DRD2,A,protenix,antagonist,5,5,100.0%,5,0,0,1.00,14.25,14.84,85.33
outputs/protenix_multimer_antag_ga_full,DRD4,A,protenix,antagonist,5,5,100.0%,0,0,0,0.00,13.56,14.55,81.68
outputs/protenix_multimer_antag_ga_full,EDNRA,A,protenix,antagonist,5,5,100.0%,5,0,0,1.00,13.12,16.31,89.32
outputs/protenix_multimer_antag_ga_full,EDNRB,A,protenix,antagonist,5,5,100.0%,5,0,0,1.00,13.18,16.33,89.54
outputs/protenix_multimer_antag_ga_full,GHSR,A,protenix,antagonist,5,5,100.0%,5,0,0,1.00,14.13,13.79,88.92
outputs/protenix_multimer_antag_ga_full,HRH1,A,protenix,antagonist,5,5,100.0%,5,0,0,1.00,16.88,13.88,84.80
outputs/protenix_multimer_antag_ga_full,HRH2,A,protenix,antagonist,5,5,100.0%,0,0,0,0.00,18.35,13.81,87.13
outputs/protenix_multimer_antag_ga_full,HRH3,A,protenix,antagonist,5,5,100.0%,5,0,0,1.00,15.29,13.80,85.59
outputs/protenix_multimer_antag_ga_full,NK1R,A,protenix,antagonist,5,5,100.0%,5,0,0,1.00,13.14,16.54,87.29
outputs/protenix_multimer_antag_ga_full,NPY2R,A,protenix,antagonist,5,5,100.0%,5,0,0,1.00,14.75,14.07,89.17
outputs/protenix_multimer_antag_ga_full,OPRK,A,protenix,antagonist,5,5,100.0%,5,0,0,1.00,14.56,14.54,89.05
outputs/protenix_multimer_antag_ga_full,OPRM,A,protenix,antagonist,5,5,100.0%,0,0,0,0.00,14.91,14.27,92.04
outputs/protenix_multimer_antag_ga_full,OX2R,A,protenix,antagonist,5,5,100.0%,5,0,0,1.00,13.54,14.06,90.08
outputs/protenix_multimer_antag_ga_full,OXYR,A,protenix,antagonist,5,5,100.0%,0,0,5,0.00,14.32,15.25,85.76
outputs/protenix_multimer_antag_ga_full,PD2R2,A,protenix,antagonist,5,5,100.0%,5,0,0,1.00,16.22,13.88,86.97
outputs/protenix_multimer_antag_ga_full,S1PR5,A,protenix,antagonist,5,5,100.0%,5,0,0,1.00,15.04,14.51,86.69
outputs/protenix_multimer_antag_noga_full,5HT1B,A,protenix,antagonist,5,5,100.0%,0,5,0,0.00,10.69,15.81,78.54
outputs/protenix_multimer_antag_noga_full,5HT2A,A,protenix,antagonist,5,5,100.0%,0,5,0,0.00,9.24,17.96,83.71
outputs/protenix_multimer_antag_noga_full,AA1R,A,protenix,antagonist,5,5,100.0%,0,5,0,0.00,8.13,17.87,90.07
outputs/protenix_multimer_antag_noga_full,AA2AR,A,protenix,antagonist,5,5,100.0%,0,0,0,0.00,7.69,17.95,85.23
outputs/protenix_multimer_antag_noga_full,ACM2,A,protenix,antagonist,5,5,100.0%,0,5,0,0.00,9.12,17.95,82.40
outputs/protenix_multimer_antag_noga_full,ACM4,A,protenix,antagonist,5,5,100.0%,0,5,0,0.00,9.06,17.82,83.91
outputs/protenix_multimer_antag_noga_full,ADA1A,A,protenix,antagonist,5,5,100.0%,0,0,0,0.00,7.19,18.22,84.78
outputs/protenix_multimer_antag_noga_full,ADRB2,A,protenix,antagonist,5,5,100.0%,0,0,5,0.00,14.03,14.66,74.93
outputs/protenix_multimer_antag_noga_full,CCKAR,A,protenix,antagonist,5,5,100.0%,0,5,0,0.00,9.31,18.48,89.06
outputs/protenix_multimer_antag_noga_full,CCR2,A,protenix,antagonist,5,5,100.0%,0,0,0,0.00,9.08,19.34,82.46
outputs/protenix_multimer_antag_noga_full,CCR5,A,protenix,antagonist,5,5,100.0%,0,5,0,0.00,8.91,19.54,82.57
outputs/protenix_multimer_antag_noga_full,CNR1,A,protenix,antagonist,5,5,100.0%,1,4,0,0.20,7.58,16.06,76.42
outputs/protenix_multimer_antag_noga_full,CXCR4,A,protenix,antagonist,5,5,100.0%,3,2,0,0.60,13.23,14.53,75.56
outputs/protenix_multimer_antag_noga_full,DRD2,A,protenix,antagonist,5,5,100.0%,0,5,0,0.00,8.11,18.13,82.54
outputs/protenix_multimer_antag_noga_full,DRD4,A,protenix,antagonist,5,5,100.0%,0,0,0,0.00,8.06,18.36,73.38
outputs/protenix_multimer_antag_noga_full,EDNRA,A,protenix,antagonist,5,5,100.0%,0,5,0,0.00,7.52,18.61,74.41
outputs/protenix_multimer_antag_noga_full,EDNRB,A,protenix,antagonist,5,5,100.0%,0,5,0,0.00,7.81,18.54,75.40
outputs/protenix_multimer_antag_noga_full,GHSR,A,protenix,antagonist,5,5,100.0%,0,5,0,0.00,8.22,18.66,81.30
outputs/protenix_multimer_antag_noga_full,HRH1,A,protenix,antagonist,5,5,100.0%,0,5,0,0.00,8.56,17.64,78.54
outputs/protenix_multimer_antag_noga_full,HRH2,A,protenix,antagonist,5,5,100.0%,0,0,0,0.00,16.89,15.00,67.95
outputs/protenix_multimer_antag_noga_full,HRH3,A,protenix,antagonist,5,5,100.0%,0,5,0,0.00,8.82,17.38,78.93
outputs/protenix_multimer_antag_noga_full,NK1R,A,protenix,antagonist,5,5,100.0%,0,0,0,0.00,8.53,17.79,88.03
outputs/protenix_multimer_antag_noga_full,NPY2R,A,protenix,antagonist,5,5,100.0%,0,5,0,0.00,9.42,17.89,84.39
outputs/protenix_multimer_antag_noga_full,OPRK,A,protenix,antagonist,5,5,100.0%,0,5,0,0.00,8.49,19.38,88.81
outputs/protenix_multimer_antag_noga_full,OPRM,A,protenix,antagonist,5,5,100.0%,0,5,0,0.00,8.58,19.19,88.21
outputs/protenix_multimer_antag_noga_full,OX2R,A,protenix,antagonist,5,5,100.0%,0,5,0,0.00,9.00,17.84,90.40
outputs/protenix_multimer_antag_noga_full,OXYR,A,protenix,antagonist,5,5,100.0%,0,5,0,0.00,8.41,18.53,81.55
outputs/protenix_multimer_antag_noga_full,PD2R2,A,protenix,antagonist,5,5,100.0%,0,5,0,0.00,11.94,19.35,80.04
outputs/protenix_multimer_antag_noga_full,S1PR5,A,protenix,antagonist,5,5,100.0%,0,5,0,0.00,9.13,17.06,76.30
outputs/w23a_boltz_arr2_panel,,,boltz,arrestin,20,0,0.0%,0,0,0,0.00,,,
outputs/w23a_boltz_arr2_panel,5HT2A,A,boltz,arrestin,20,20,100.0%,0,20,0,0.00,9.26,18.44,94.42
outputs/w23a_boltz_arr2_panel,AA1R,A,boltz,arrestin,20,20,100.0%,0,20,0,0.00,7.86,17.94,95.14
outputs/w23a_boltz_arr2_panel,ACM2,A,boltz,arrestin,20,20,100.0%,0,20,0,0.00,9.47,15.81,90.12
outputs/w23a_boltz_arr2_panel,ACM4,A,boltz,arrestin,20,20,100.0%,0,20,0,0.00,9.01,16.84,92.70
outputs/w23a_boltz_arr2_panel,CCR5,A,boltz,arrestin,20,20,100.0%,20,0,0,1.00,14.74,17.78,87.04
outputs/w23a_boltz_arr2_panel,CNR1,A,boltz,arrestin,20,20,100.0%,14,0,6,0.70,13.02,13.82,83.74
outputs/w23a_boltz_arr2_panel,CXCR4,A,boltz,arrestin,20,20,100.0%,8,10,2,0.40,10.71,21.86,81.11
outputs/w23a_boltz_arr2_panel,DRD2,A,boltz,arrestin,20,20,100.0%,0,20,0,0.00,7.88,18.45,91.26
outputs/w23a_boltz_arr2_panel,EDNRB,A,boltz,arrestin,20,20,100.0%,0,19,1,0.00,9.31,16.92,79.92
outputs/w23a_boltz_arr2_panel,HRH1,A,boltz,arrestin,20,20,100.0%,0,20,0,0.00,8.29,17.59,74.79
outputs/w23a_boltz_arr2_panel,HRH3,A,boltz,arrestin,20,20,100.0%,1,19,0,0.05,8.98,18.27,91.18
outputs/w23a_boltz_arr2_panel,NK1R,A,boltz,arrestin,20,20,100.0%,0,0,0,0.00,8.68,17.57,92.79
outputs/w23a_boltz_arr2_panel,OPRM,A,boltz,arrestin,20,20,100.0%,0,18,0,0.00,8.98,17.04,96.91
outputs/w23a_boltz_arr2_panel,OXYR,A,boltz,arrestin,20,20,100.0%,3,17,0,0.15,9.32,18.63,88.02
outputs/w43_sampling_budget_ablation,AA2AR,A,boltz,cognate_ga,400,400,100.0%,0,0,0,0.00,9.57,15.16,85.46
outputs/w48_chai_arrestin_bidir,,,chai,arrestin,20,0,0.0%,0,0,0,0.00,,,
outputs/w48_chai_arrestin_bidir,5HT2A,A,chai,arrestin,20,20,100.0%,0,20,0,0.00,8.92,18.72,78.15
outputs/w48_chai_arrestin_bidir,AA1R,A,chai,arrestin,20,20,100.0%,0,20,0,0.00,8.21,17.95,87.49
outputs/w48_chai_arrestin_bidir,ACM2,A,chai,arrestin,20,20,100.0%,0,19,1,0.00,10.34,15.34,77.25
outputs/w48_chai_arrestin_bidir,ACM4,A,chai,arrestin,20,20,100.0%,0,20,0,0.00,8.99,17.46,79.20
outputs/w48_chai_arrestin_bidir,CCR5,A,chai,arrestin,20,20,100.0%,0,2,18,0.00,12.44,19.98,80.11
outputs/w48_chai_arrestin_bidir,CNR1,A,chai,arrestin,20,20,100.0%,20,0,0,1.00,14.68,13.50,76.07
outputs/w48_chai_arrestin_bidir,CXCR4,A,chai,arrestin,20,20,100.0%,0,20,0,0.00,8.61,19.85,70.04
outputs/w48_chai_arrestin_bidir,DRD2,A,chai,arrestin,20,20,100.0%,5,15,0,0.25,8.87,18.43,79.85
outputs/w48_chai_arrestin_bidir,EDNRB,A,chai,arrestin,20,20,100.0%,0,20,0,0.00,8.05,18.25,77.72
outputs/w48_chai_arrestin_bidir,HRH1,A,chai,arrestin,20,20,100.0%,0,20,0,0.00,7.74,17.47,80.48
outputs/w48_chai_arrestin_bidir,HRH3,A,chai,arrestin,20,20,100.0%,0,20,0,0.00,9.14,17.76,83.64
outputs/w48_chai_arrestin_bidir,NK1R,A,chai,arrestin,20,20,100.0%,0,0,0,0.00,8.79,17.48,88.74
outputs/w48_chai_arrestin_bidir,OPRM,A,chai,arrestin,20,20,100.0%,0,20,0,0.00,8.66,19.22,80.22
outputs/w48_chai_arrestin_bidir,OXYR,A,chai,arrestin,20,20,100.0%,0,20,0,0.00,7.78,18.58,83.59
outputs/w49_aa2ar_seed_variance,AA2AR,A,boltz,cognate_ga,200,200,100.0%,0,0,0,0.00,9.23,16.68,86.53
outputs/w7b_boltz_aa2ar_n50,AA2AR,A,boltz,cognate_ga,50,50,100.0%,0,0,0,0.00,18.02,13.34,88.92
outputs/wc4_aa2ar_CLR_embed,AA2AR,A,boltz,ligand,1,1,100.0%,0,0,0,0.00,9.10,17.56,88.65
outputs/wc4_aa2ar_NEC_embed,AA2AR,A,boltz,ligand,1,1,100.0%,0,0,0,0.00,17.64,13.80,90.06
outputs/wc4_aa2ar_ZMA_embed,AA2AR,A,boltz,ligand,1,1,100.0%,0,0,0,0.00,9.59,17.57,87.61
r2_lenb_r2_panela,ACM2,A,boltz,other,5,5,100.0%,5,0,0,1.00,15.28,13.68,91.46
r2_lenb_r2_panela,DRD2,A,boltz,other,5,5,100.0%,5,0,0,1.00,13.27,17.22,92.36
r2_lenb_r2_panela,HRH1,A,boltz,other,5,5,100.0%,5,0,0,1.00,16.49,13.94,89.68
r2_lenb_r2_panela,OPRM,A,boltz,other,5,5,100.0%,0,0,0,0.00,14.59,14.23,95.90
r2_lenb_r2_panela,OXYR,A,boltz,other,5,5,100.0%,0,0,5,0.00,13.77,14.92,93.81
round4_mechanism,ACM2,A,boltz,other,15,15,100.0%,15,0,0,1.00,15.94,13.74,90.16
round4_mechanism,ADRB2,A,boltz,other,10,10,100.0%,10,0,0,1.00,17.60,13.86,88.70
round4_mechanism,DRD2,A,boltz,other,15,15,100.0%,12,2,1,0.80,13.42,17.41,91.37
round4_mechanism,HRH1,A,boltz,other,15,15,100.0%,15,0,0,1.00,16.59,13.81,86.98
round4_mechanism,MCHR1,A,boltz,apo,10,10,100.0%,0,10,0,0.00,9.18,17.52,88.12
round4_mechanism,MCHR1,A,boltz,other,10,10,100.0%,0,10,0,0.00,8.65,17.83,90.24
round4_mechanism,MCHR1,A,boltz,α5_ct_fragment,5,5,100.0%,0,5,0,0.00,8.65,18.04,90.57
round4_mechanism,NPY2R,A,boltz,apo,10,10,100.0%,0,10,0,0.00,9.45,17.66,92.18
round4_mechanism,NPY2R,A,boltz,other,5,5,100.0%,0,5,0,0.00,9.64,17.73,91.73
round4_mechanism,NPY2R,A,boltz,α5_ct_fragment,5,5,100.0%,0,5,0,0.00,9.67,17.75,91.56
task3b_boltz,AA3R,A,boltz,apo,5,5,100.0%,0,0,0,0.00,8.15,17.73,94.95
task3b_boltz,AA3R,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,8.29,18.03,92.52
task3b_boltz,ADA1A,A,boltz,apo,5,5,100.0%,0,0,0,0.00,7.14,17.90,82.38
task3b_boltz,ADA1A,A,boltz,cognate_ga,5,5,100.0%,0,5,0,0.00,17.44,15.22,88.69
task3b_boltz,BRS3_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,7.55,18.84,86.91
task3b_boltz,BRS3_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,14.05,14.97,93.60
task3b_boltz,CCR8,A,boltz,apo,5,5,100.0%,0,0,0,0.00,9.58,19.62,87.44
task3b_boltz,CCR8,A,boltz,cognate_ga,5,5,100.0%,5,0,0,1.00,14.10,14.04,94.46
task3b_boltz,CML2_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,14.55,18.59,86.09
task3b_boltz,CML2_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,16.49,14.13,84.33
task3b_boltz,CXCR1,A,boltz,apo,5,5,100.0%,0,0,0,0.00,9.30,19.04,85.12
task3b_boltz,CXCR1,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,14.10,14.06,94.94
task3b_boltz,CXCR3,A,boltz,apo,5,5,100.0%,0,0,0,0.00,10.55,19.21,84.07
task3b_boltz,CXCR3,A,boltz,cognate_ga,5,5,100.0%,5,0,0,1.00,14.27,13.82,81.89
task3b_boltz,DRD5,A,boltz,apo,5,5,100.0%,0,0,0,0.00,17.17,14.79,76.44
task3b_boltz,DRD5,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,18.17,14.40,93.26
task3b_boltz,FFAR2_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,13.33,15.41,90.59
task3b_boltz,FFAR2_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,13.59,14.86,90.38
task3b_boltz,GP101_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,14.53,14.68,68.53
task3b_boltz,GP101_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,16.87,14.34,73.81
task3b_boltz,GP132_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,12.52,16.35,84.56
task3b_boltz,GP132_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,14.94,15.16,92.23
task3b_boltz,GPER1_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,14.96,14.42,81.10
task3b_boltz,GPER1_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,14.81,13.83,94.04
task3b_boltz,GPR12_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,13.47,15.81,82.71
task3b_boltz,GPR12_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,17.74,15.05,90.31
task3b_boltz,GPR15_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,10.38,18.74,90.15
task3b_boltz,GPR15_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,15.12,16.44,92.30
task3b_boltz,GPR34_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,9.81,17.86,79.66
task3b_boltz,GPR34_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,14.29,15.78,88.46
task3b_boltz,GPR3_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,8.44,17.35,76.02
task3b_boltz,GPR3_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,17.55,14.86,92.23
task3b_boltz,GPR55_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,12.73,16.44,93.33
task3b_boltz,GPR55_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,14.12,14.74,95.28
task3b_boltz,GPR84_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,9.39,18.19,81.47
task3b_boltz,GPR84_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,15.78,13.64,83.77
task3b_boltz,HCAR3_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,12.73,16.90,91.00
task3b_boltz,HCAR3_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,13.53,14.44,95.67
task3b_boltz,HRH4,A,boltz,apo,5,5,100.0%,0,0,0,0.00,8.86,17.36,75.77
task3b_boltz,HRH4,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,16.98,13.82,85.32
task3b_boltz,KISSR_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,8.28,19.59,80.82
task3b_boltz,KISSR_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,14.02,15.35,92.57
task3b_boltz,MC3R_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,7.38,18.05,77.33
task3b_boltz,MC3R_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,18.18,13.45,90.47
task3b_boltz,MC5R_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,7.04,17.77,84.15
task3b_boltz,MC5R_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,18.66,13.76,93.76
task3b_boltz,MCHR1,A,boltz,apo,5,5,100.0%,0,5,0,0.00,8.42,18.00,85.37
task3b_boltz,MCHR1,A,boltz,cognate_ga,5,5,100.0%,5,0,0,1.00,14.63,13.58,92.04
task3b_boltz,MCHR2_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,8.77,18.88,82.76
task3b_boltz,MCHR2_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,15.22,14.68,90.14
task3b_boltz,NK3R,A,boltz,apo,5,5,100.0%,0,0,0,0.00,9.44,17.75,84.75
task3b_boltz,NK3R,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,13.41,17.61,87.49
task3b_boltz,NMBR_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,8.18,19.45,90.06
task3b_boltz,NMBR_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,14.66,16.38,96.59
task3b_boltz,OPSR_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,8.00,17.74,82.05
task3b_boltz,OPSR_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,14.60,13.65,91.42
task3b_boltz,P2Y10_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,9.32,17.97,76.61
task3b_boltz,P2Y10_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,13.03,17.81,86.06
task3b_boltz,PF2R_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,13.68,18.13,86.85
task3b_boltz,PF2R_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,12.66,17.80,95.45
task3b_boltz,PI2R_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,7.89,21.99,81.41
task3b_boltz,PI2R_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,13.76,18.57,90.96
task3b_boltz,PRLHR_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,10.56,18.40,90.75
task3b_boltz,PRLHR_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,14.94,15.62,95.01
task3b_boltz,QRFPR_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,9.22,18.03,90.52
task3b_boltz,QRFPR_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,13.17,16.64,92.40
task3b_boltz,SSR1_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,7.85,19.34,89.83
task3b_boltz,SSR1_HUMAN,A,boltz,cognate_ga,5,5,100.0%,0,0,0,0.00,14.48,14.61,92.90
task3b_boltz,SSR3_HUMAN,A,boltz,apo,5,5,100.0%,0,0,0,0.00,8.31,19.79,86.34
