receptor,ligand_role,ligand_variant,is_peptide,smiles,inchi,peptide_sequence,iupac_name,bound_pdb,affinity_metric,affinity_value_nM,affinity_source,activity_class,pdb_deposition_date,tautomer_note,protonation_ph74_note,notes,ccd_code,ccd_smiles,smiles_source
ACM2,neutral_antagonist,,FALSE,c1ccc(cc1)C(c2ccccc2)(C(=O)O[C@H]3CN4CCC3CC4)O,"InChI=1S/C21H23NO3/c23-21(17-9-5-2-6-10-17,18-11-7-3-8-12-18)20(24)25-19-15-22-13-14-16(19)22/h2-3,5-12,16,19,23H,4,13-15H2/t19-/m1/s1",,"1-azabicyclo[2.2.2]oct-3-yl 2-hydroxy-2,2-diphenylacetate [3-quinuclidinyl benzilate, QNB]",3UON,Ki,0.05,Haga 2012 Nature 482:547 PMID:22278061,neutral_antagonist,2011-12-30,ester s-cis; tertiary alcohol OH free,quinuclidine tertiary amine protonated (+1) at pH 7.4; pKa~10.5,SMILES replaced with CCD-authoritative (QNB @ 3UON) 2026-09-04 (Step 1.1); CCD encodes (3R) stereo per crystal (HGMITUYOCPPQLE-IBGZPJMESA-N); prior row was racemic PubChem CID 23056 (HGMITUYOCPPQLE-UHFFFAOYSA-N). Connectivity matches; CCD wins on stereo per crystal truth. Haga 2012 assay literature was for R-(-)-QNB; the CCD's R-form matches assay bioactive isomer || PRIOR_NOTES: pubchem_cid=23056 (racemic quinuclidinyl benzilate); inchikey_verified=YES: HGMITUYOCPPQLE-UHFFFAOYSA-N; RDKit round-trip PASS. SMILES is racemic per PubChem; bioactive form referenced in Haga 2012 assay is R-(-)-QNB but the crystal ligand at 3UON encodes S-QNB per the deposited coords — annotation preserved as R for the assay literature. Original CID citation 24887 was wrong,QNB,c1ccc(cc1)C(c2ccccc2)(C(=O)O[C@H]3CN4CCC3CC4)O,CCD:3UON:QNB
ACM2,inverse_agonist,,FALSE,CN1[C@@H]2CC[C@H]1CC(OC(=O)C(CO)c1ccccc1)C2,"InChI=1S/C17H23NO3/c1-18-13-7-8-14(18)10-15(9-13)21-17(20)16(11-19)12-6-3-2-4-5-12/h2-6,13-16,19H,7-11H2,1H3",,"[(1S,5R)-8-methyl-8-azabicyclo[3.2.1]octan-3-yl] 3-hydroxy-2-phenylpropanoate [atropine]",,Ki,3,Bolden 1992 J Pharmacol Exp Ther 260:576 PMID:1738105,inverse_agonist,,ester s-cis; primary OH free; tropinyl exo-form,tropane tertiary amine protonated (+1); pKa~9.8,classified inverse at M2 via CAM assay (Bolden 1992); no clean ACM2+atropine co-crystal — bound_pdb empty; ligand_rmsd_to_ref will be NaN. Handoff to A2 flagged. pubchem_cid=174174; inchikey_verified=YES: RKUNBYITZUJHSG-PJPHBNEVSA-N (full stereo match with PubChem authoritative),,,PubChem:CID174174
ACM2,full_agonist,,FALSE,C[N+](C)(C)CC#CCOC1=NOCC1,"InChI=1S/C10H17N2O2/c1-12(2,3)7-4-5-8-13-10-6-9-14-11-10/h6-9H2,1-3H3/q+1",,"4-{(4,5-dihydro-1,2-oxazol-3-yl)oxy}but-2-yn-1-yl-trimethylazanium [iperoxo]",4MQS,Ki,3,Schrage 2016 Nat Commun 7:11289 PMID:27045019; Kruse 2013 Nature 504:101 PMID:24256733,full_agonist,2013-09-16,"4,5-dihydro-1,2-oxazol-3-yl ether tautomer",quaternary ammonium permanent charge +1; oxazoline neutral,SMILES replaced with CCD-authoritative (IXO @ 4MQS) 2026-09-04 (Step 1.1); permanent +1 quaternary N preserved. Same CCD code (IXO) as ACM4/7TRP full_agonist -- confirms cross-PDB iperoxo consistency. InChIKey WXXOCGISBCTWPW-UHFFFAOYSA-N unchanged || PRIOR_NOTES: SMILES fixed 2026-09-03 pass-4 — same structural bug as ACM4/iperoxo row (aromatic oxadiazole instead of dihydroisoxazol-ether); corrected form from PubChem CID:10104167; InChIKey WXXOCGISBCTWPW-UHFFFAOYSA-N; RDKit round-trip PASS; inchikey_verified=YES. Canonical M2 super-agonist co-crystal,IXO,C[N+](C)(C)CC#CCOC1=NOCC1,CCD:4MQS:IXO
5HT1B,none,,FALSE,,,,,,,,,,,,,in-campaign baseline,,,
5HT1B,decoy_lig,,FALSE,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,"InChI=1S/C12H11ClN2O5S/c13-9-5-10(15-6-7-2-1-3-20-7)8(12(16)17)4-11(9)21(14,18)19/h1-5,15H,6H2,(H,16,17)(H2,14,18,19)",,furosemide,,,,decoy_none_known,decoy_lig,,,,"Block C decoy_lig built by scripts/build_block_c_decoys.py (Gate 0.4); source: FDA-approved loop diuretic (NKCC2 inhibitor); no 5-HT activity; Morgan(r=2,1024)_max_Tanimoto_vs_real_ligands<0.3 (n=2 parseable): T((6RS)-1-methyl-4-(8-methylsulfanyl-10,11-dihydrodibenzo[b,f]thiepin-10-yl)piperazine [methiothepin])=0.095; T(N,N-dimethyl-3-[2-(pyrrolidin-1-yl)ethyl]-1H-indole-5-carboxamide [donitriptan])=0.118; canonical_smiles_sha256=735ca12353622aece761855a3cc38e1ac5ca2cda0717cf4c6fb353088051e886",,,PubChem:CID3440
5HT1B,neutral_antagonist,,FALSE,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,"InChI=1S/C20H24N2S2/c1-21-9-11-22(12-10-21)18-13-15-5-3-4-6-19(15)24-20-8-7-16(23-2)14-17(18)20/h3-8,14,18H,9-13H2,1-2H3",,"1-methyl-4-(3-methylsulfanyl-5,6-dihydrobenzo[b][1]benzothiepin-5-yl)piperazine [methiothepin]",,Ki,4,Hoyer 1985 Eur J Pharmacol 118:1 PMID:2416545,neutral_antagonist,,"dibenzothiepin 5,6-dihydro tricycle (CH-CH2 bridge between the two benzo rings)",piperazine distal N protonated (+1) at pH 7.4; proximal N adjacent to aromatic partially protonated,"SMILES fixed 2026-09-03 post-B2-flag — original SMILES was MISSING the 5,6-dihydro CH2 bridge between the two benzo rings and had erroneous stereocenter mark; corrected from PubChem CID:4106; InChIKey RLJFTICUTYVZDG-UHFFFAOYSA-N; RDKit round-trip PASS; inchikey_verified=YES. Original CID citation 6853 was wrong. methiothepin is racemic in PubChem (no stereocenter marked). Binds many 5HT receptors; no confirmed clean 5HT1B+methiothepin co-crystal PDB in RCSB. bound_pdb empty pending A2",,,PubChem:CID4106
5HT1B,inverse_agonist,,FALSE,,,,,,NA,,"NA — no cleanly-classified 5HT1B inverse agonist with <100 nM Ki and peer-reviewed CAM assay",NA,,,,"NA row per plan sec 6 asymmetry principle; SB-224289 is reported inverse Ki~5 nM but no clean 5HT1B co-crystal exists. Handoff to A2 flagged; P3 (inverse<antag) untestable for 5HT1B",,,
5HT1B,full_agonist,,FALSE,c1cc(ccc1C#N)N2CCN(CC2)C(=O)COc3ccc4c(c3)c(c[nH]4)CC[NH3+],"InChI=1S/C23H25N5O2/c24-8-7-18-15-26-22-6-5-20(13-21(18)22)30-16-23(29)28-11-9-27(10-12-28)19-3-1-17(14-25)2-4-19/h1-6,13,15,26H,7-12,16,24H2/p+1",,"4-{4-[2-({3-(2-aminoethyl)-1H-indol-5-yl}oxy)acetyl]piperazin-1-yl}benzonitrile [donitriptan, F-11356]",6G79,Ki,0.6,Ellinghaus 1998 Eur J Pharmacol 342:73 PMID:9544794; Garcia-Nafria 2018 Nature 558:620 PMID:29925951,full_agonist,2018-04-15,indole 1H-tautomer; benzonitrile-piperazine-acetyl-oxy-indole scaffold,"primary amine (CCN, on ethylamine chain) protonated (+1) at pH 7.4; piperazine tertiary amines neutral due to aryl/acyl substitution; indole N-H neutral; nitrile neutral","SMILES replaced with CCD-authoritative (EP5 @ 6G79) 2026-09-04 (Step 1.1); CCD encodes +1 protonated form (primary ethylamine as [NH3+]) with InChIKey SOHCKWZVTCTQBG-UHFFFAOYSA-O; connectivity matches prior neutral PubChem CID 197706 (SOHCKWZVTCTQBG-UHFFFAOYSA-N). Crystal-observed protonation state kept as authoritative || PRIOR_NOTES: SMILES fixed 2026-09-03 pass-4 — original SMILES encoded a completely different molecule (an N,N-dimethyl-indole-carboxamide-pyrrolidinylethyl construct) instead of donitriptan's benzonitrile-piperazine-acetyl-oxy-indole scaffold; corrected form from PubChem CID:197706 (NOT 9865785 as originally mis-cited); InChIKey SOHCKWZVTCTQBG-UHFFFAOYSA-N; RDKit round-trip PASS; inchikey_verified=YES. 5HT1B-selective triptan agonist co-crystal with mini-Gi at 6G79",EP5,c1cc(ccc1C#N)N2CCN(CC2)C(=O)COc3ccc4c(c3)c(c[nH]4)CC[NH3+],CCD:6G79:EP5
AA1R,none,,FALSE,,,,,,,,,,,,,in-campaign baseline,,,
AA1R,decoy_lig,,FALSE,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],"InChI=1S/C17H18N2O6/c1-9-13(16(20)24-3)15(14(10(2)18-9)17(21)25-4)11-7-5-6-8-12(11)19(22)23/h5-8,15,18H,1-4H3",,nifedipine,,,,decoy_none_known,decoy_lig,,,,"Block C decoy_lig built by scripts/build_block_c_decoys.py (Gate 0.4); source: FDA-approved L-type Ca²⁺ channel blocker (dihydropyridine); no adenosinergic activity; Morgan(r=2,1024)_max_Tanimoto_vs_real_ligands<0.3 (n=3 parseable): T(8-cyclopentyl-1,3-dipropyl-3,7-dihydro-1H-purine-2,6-dione [DPCPX / CPX / PD-116,948])=0.074; T(1-butyl-8-(hexahydro-2,5-methanopentalen-3a(1H)-yl)-3-methyl-3,7-dihydro-1H-purine-2,6-dione [PSB-36])=0.125; T(adenosine)=0.071; canonical_smiles_sha256=624ca160e1638351fa0fdcd49940dccbcc022a366df39acec3d149f50528c8c9",,,PubChem:CID4485
AA1R,neutral_antagonist,,FALSE,CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,"InChI=1S/C15H22N4O2/c1-3-7-18-13-12(14(20)19(8-4-2)15(18)21)16-11(17-13)10-5-6-9-10/h10H,3-9H2,1-2H3,(H,16,17)",,"8-cyclopentyl-1,3-dipropyl-3,7-dihydro-1H-purine-2,6-dione [DPCPX / CPX / PD-116948]",,Ki,1,Bruns 1987 Naunyn-Schmiedebergs Arch Pharmacol 335:64 PMID:3574438; Cheng 2017 Structure 25:1275 PMID:28712806,neutral_antagonist,,xanthine 7-NH tautomer per co-crystal,xanthine N1/N3 alkylated; N7-H neutral; overall neutral molecule,"Step 1.1 (2026-09-04): NO clean DPCPX co-crystal in RCSB. Prior bound_pdb 5UEN contains DU1 = DPCPX-benzene-sulfonyl-fluoride covalent affinity probe (Cheng 2017), NOT free DPCPX. No PDB found via CCD name-search for CPX/DPX/DPC or graph-exact search on DPCPX SMILES. bound_pdb blanked; keep PubChem SMILES (CID 1329, InChIKey FFBDFADSZUINTG-UHFFFAOYSA-N). ligand_rmsd_to_ref will be NaN. smiles_source=PubChem:CID1329 || PRIOR_NOTES: A1-selective xanthine antagonist; pubchem_cid=1329; inchikey_verified=YES: FFBDFADSZUINTG-UHFFFAOYSA-N (full match with PubChem authoritative)",,,PubChem:CID1329
AA1R,inverse_agonist,,FALSE,,,,,NA,,,"NA — PSB-36 unverifiable in pass-3 and pass-4 (no PubChem/ChEMBL/DrugBank record findable via name lookup PSB-36/PSB-0036/PSB36; reverse-lookup on InChIKey OTPLYELMCYGCDS-UHFFFAOYSA-N returns HTTP 404). Original bound_pdb 6D9H was ALSO wrong (6D9H is AA1R+adenosine agonist, not PSB-36)",NA,,,,"NA row per pass-4 fallback — AA1R inverse-agonist role dropped per coordinator's fallback option (c) matching OX2R/5HT1B inverse-agonist NA treatment. P3 (inv<antag) untestable for AA1R. Rationale: pass-4 could not verify PSB-36 SMILES against any authoritative structural database in the reachable sources; keeping an unverified structural row would risk the same silent-nonsense-dispatch class of bug that caught 4 other compounds in this pass",,,
AA1R,full_agonist,,FALSE,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",,adenosine,7LD3,Ki,10,Lohse 1988 Naunyn-Schmiedebergs Arch Pharmacol 337:687 PMID:3216901; Draper-Joyce 2021 Nature 597:571 PMID:34526719,full_agonist,2020-11-05,adenine N9-glycoside; N1 unprotonated tautomer,adenine ring N1 pKa~3.5 unprotonated at pH 7.4; ribose OHs neutral; overall neutral,"SMILES replaced with CCD-authoritative (ADN @ 7LD3) 2026-09-04 (Step 1.1); primary-ligand disambiguation: 7LD3 also carries XTD (heavier fw 0.45, a bis-CF3-thiophene positive allosteric modulator); ADN is the orthosteric adenosine agonist. Orthosteric-preferred rule applied. InChIKey OIRDTQYFTABQOQ-KQYNXXCUSA-N unchanged (matches prior PubChem CID 60961) || PRIOR_NOTES: endogenous A1 full agonist co-crystal with Gi at 7LD3; pubchem_cid=60961; inchikey_verified=YES: OIRDTQYFTABQOQ-KQYNXXCUSA-N (full stereo match with PubChem authoritative). Ki 10 nM per Lohse 1988; assay-dependent range 10-100 nM — within threshold",ADN,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,CCD:7LD3:ADN
