receptor,backbone,axis,x,y,gpcr_class,cluster_id,n_rows_used,included_baseline,included_class_a_only,included_no_holds
CCKAR,protenix,tilt,,4.909634440604741,A,SINGLETON_CCKAR,50,False,False,False
CCKAR,protenix,npxxy,,-6.450852103693053,A,SINGLETON_CCKAR,50,False,False,False
CCR5,protenix,tilt,6.79565830202705,6.000996019307227,A,SINGLETON_CCR5,50,True,True,True
CCR5,protenix,npxxy,-7.020236830706299,-6.642836813418143,A,SINGLETON_CCR5,50,True,True,True
CNR1,protenix,tilt,5.543704230842698,0.3794520877648679,A,CNR,50,True,True,False
CNR1,protenix,npxxy,-5.950717835566201,-0.0493667307599943,A,CNR,50,True,True,False
CNR2,protenix,tilt,4.888456,2.8418366438471523,A,CNR,50,True,True,True
CNR2,protenix,npxxy,-6.8025649999999995,-0.4168472877468989,A,CNR,50,True,True,True
CRHR1,protenix,tilt,7.766566000000001,9.450338692955878,B,CLASS_B,50,True,False,False
CRHR1,protenix,npxxy,,,B,CLASS_B,50,False,False,False
CXCR2,protenix,tilt,5.325510000000001,5.180861768221542,A,CXCR,50,True,True,True
CXCR2,protenix,npxxy,-4.009462,-5.563830601961805,A,CXCR,50,True,True,True
CXCR4,protenix,tilt,4.676210000000001,5.094094866286078,A,CXCR,50,True,True,True
CXCR4,protenix,npxxy,-9.579457,-10.2469164764396,A,CXCR,50,True,True,True
DRD2,protenix,tilt,6.140034,5.249939757033875,A,DRD,50,True,True,True
DRD2,protenix,npxxy,-5.778296,-5.483725496274,A,DRD,50,True,True,True
DRD3,protenix,tilt,,5.330129252805612,A,DRD,50,False,False,False
DRD3,protenix,npxxy,,-5.747060804368607,A,DRD,50,False,False,False
EDNRA,protenix,tilt,,4.180790465544003,A,EDN,50,False,False,False
EDNRA,protenix,npxxy,,,A,EDN,50,False,False,False
EDNRB,protenix,tilt,2.7241669999999996,4.337031865286598,A,EDN,50,True,True,True
EDNRB,protenix,npxxy,,,A,EDN,50,False,False,False
FSHR,protenix,tilt,5.272624999999998,1.7105865005235614,A,GLYCOPROTEIN,50,True,True,True
FSHR,protenix,npxxy,,0.6422347222159548,A,GLYCOPROTEIN,50,False,False,False
FZD4,protenix,tilt,2.894582500000002,,F,FZD,25,False,False,False
FZD4,protenix,npxxy,,,F,FZD,25,False,False,False
FZD6,protenix,tilt,1.0336879999999995,0.2927866689582643,F,FZD,50,True,False,False
FZD6,protenix,npxxy,,,F,FZD,50,False,False,False
FZD7,protenix,tilt,2.472462,0.2587700660009666,F,FZD,50,True,False,False
FZD7,protenix,npxxy,,,F,FZD,50,False,False,False
GCGR,protenix,tilt,12.860397999999998,9.8798132866719,B,CLASS_B,50,True,False,False
GCGR,protenix,npxxy,,,B,CLASS_B,50,False,False,False
GHSR,protenix,tilt,5.291046999999999,4.861290400799229,A,SINGLETON_GHSR,50,True,True,True
GHSR,protenix,npxxy,-5.222514,-5.415773691878857,A,SINGLETON_GHSR,50,True,True,True
GLP1R,protenix,tilt,10.231247000000002,10.28089254248767,B,CLASS_B,50,True,False,False
GLP1R,protenix,npxxy,,,B,CLASS_B,50,False,False,False
GRPR,protenix,tilt,5.386479,6.552392942431062,A,SINGLETON_GRPR,50,True,True,True
GRPR,protenix,npxxy,,,A,SINGLETON_GRPR,50,False,False,False
HRH1,protenix,tilt,5.087273,5.351284946215031,A,HRH,50,True,True,True
HRH1,protenix,npxxy,-10.714563000000002,-10.895297898110142,A,HRH,50,True,True,True
HRH3,protenix,tilt,,4.019970281309568,A,HRH,50,False,False,False
HRH3,protenix,npxxy,,,A,HRH,50,False,False,False
LPAR1,protenix,tilt,6.540000999999998,5.90331191027296,A,SINGLETON_LPAR1,50,True,True,True
LPAR1,protenix,npxxy,-5.192592000000001,-1.6635802468555785,A,SINGLETON_LPAR1,50,True,True,True
LSHR,protenix,tilt,7.156556000000002,0.4772493093127252,A,GLYCOPROTEIN,50,True,True,True
LSHR,protenix,npxxy,,0.4677278565875289,A,GLYCOPROTEIN,50,False,False,False
LT4R1,protenix,tilt,5.9134540000000015,5.170832496527103,A,SINGLETON_LT4R1,50,True,True,True
LT4R1,protenix,npxxy,-8.16752,-6.567174063094776,A,SINGLETON_LT4R1,50,True,True,True
MCHR1,protenix,tilt,4.580696,5.679334153803255,A,SINGLETON_MCHR1,50,True,True,False
MCHR1,protenix,npxxy,-2.009340999999999,-4.891421812596697,A,SINGLETON_MCHR1,50,True,True,False
NPY1R,protenix,tilt,5.040165999999999,4.901137988331614,A,NPY,50,True,True,True
NPY1R,protenix,npxxy,-5.970039,-8.283493160803456,A,NPY,50,True,True,True
NPY2R,protenix,tilt,5.592457000000001,5.106549080981964,A,NPY,50,True,True,True
NPY2R,protenix,npxxy,-5.801127,-5.737140813473788,A,NPY,50,True,True,True
OPRD,protenix,tilt,3.728368999999999,5.5874033947732595,A,opioid,50,True,True,False
OPRD,protenix,npxxy,2.4976699999999994,-6.933349313528008,A,opioid,50,True,True,False
OPRK,protenix,tilt,5.625022000000001,5.46380370532389,A,opioid,50,True,True,True
OPRK,protenix,npxxy,-7.604551,-6.821929906967677,A,opioid,50,True,True,True
OPRX,protenix,tilt,5.977647000000001,5.3294161712532695,A,opioid,50,True,True,True
OPRX,protenix,npxxy,-6.683811,-6.431652252225376,A,opioid,50,True,True,True
OPSD,protenix,tilt,4.126431,5.307282224462718,A,OPSIN,50,True,True,True
OPSD,protenix,npxxy,-19.534927,-9.801287338349322,A,OPSIN,50,True,True,True
OX2R,protenix,tilt,,4.366328734473056,A,SINGLETON_OX2R,50,False,False,False
OX2R,protenix,npxxy,,-5.695389481250076,A,SINGLETON_OX2R,50,False,False,False
PTH1R,protenix,tilt,10.579623000000002,4.195095757393471,B,CLASS_B,50,True,False,False
PTH1R,protenix,npxxy,,,B,CLASS_B,50,False,False,False
SMO,protenix,tilt,4.872239499999999,0.1936391343426216,F,FZD,50,True,False,False
SMO,protenix,npxxy,,,F,FZD,50,False,False,False
